"basin","region","subRegion","siteName","latitude","longitude","depth","intrumentType","projectCode","tagNum","fate","dateDeployment","dateRecovery","duration","species","massBlockPre","massEpoxiedPre","volumeBlockPre","densityRWPre","densityHUPre","densityCTPre","massDirtyPost","massCleanPost","volumeBlockPost","densityHUPost","densityCTPost","macroboring","grazing","accretion","machinePre","machinePost","carbEQPost","sa","notes","instrument","daysDeployed","yearsDeployed","loc1","loc2","loc3","loc1.2","deltaMass_mgcm2y","deltaMass_kgm2y","deltaVolume_mm3cm2y","deltaDensity_mgcm3cm2y","macroboring_mm3cm2y","accretion_mm3cm2y","grazing_mm3cm2y"
"atlantic","STX","north","Salt River",17.78532,-64.75953,15,"BMU","NCRMP",4981,"SUCCESSFULLY RECOVERED",2014-05-26,2018-05-06,3.95,"O.faveolata",14.0751,30.2675,12.496,1.126368438,NA,NA,NA,27.4437,9.76557827,NA,1.111160213,-0.718619545,-2.011802185,0.838748528,"3Dscan","macro",NA,NA,NA,NA,1441,3.94794520547945,"caribbean","saintCroix","saintCroix-north","caribbean.saintCroix",-29.80242308582,-0.2980242308582,-19.9647443537474,NA,-7.58432031936734,8.85216321767291,-21.232587252053
"atlantic","STX","north","Salt River",17.78532,-64.75953,15,"BMU","NCRMP",4982,"SUCCESSFULLY RECOVERED",2014-05-26,2018-05-06,3.95,"O.faveolata",13.2494,29.1637,12.14,1.091383855,NA,NA,NA,29.6147,10.47180383,NA,1.258118857,-0.176399748,-1.491796422,1.268126388,"3Dscan","macro",NA,NA,NA,NA,1441,3.94794520547945,"caribbean","saintCroix","saintCroix-north","caribbean.saintCroix",4.75986005089059,0.0475986005089059,-4.22234184680776,NA,-1.86172530707842,13.3838229129077,-15.7444394526371
"atlantic","STX","north","Salt River",17.78532,-64.75953,15,"BMU","NCRMP",4983,"SUCCESSFULLY RECOVERED",2014-05-26,2018-05-06,3.95,"O.faveolata",12.0356,27.8296,11.81,1.019102456,NA,NA,NA,26.6422,9.441600804,NA,1.160875592,-0.148427444,-2.219971752,0.605460033,"3Dscan","macro",NA,NA,NA,NA,1441,3.94794520547945,"caribbean","saintCroix","saintCroix-north","caribbean.saintCroix",-12.5318355308813,-0.125318355308813,-18.6060835789672,NA,-1.56650523536896,6.39003331150243,-23.4296116551006
"atlantic","STX","north","Salt River",17.78532,-64.75953,15,"BMU","NCRMP",4984,"SUCCESSFULLY RECOVERED",2014-05-26,2018-05-06,3.95,"O.faveolata",12.0324,27.5485,11.243,1.070212577,NA,NA,NA,27.9266,9.798331356,NA,1.235390046,-0.082423452,-1.362245192,1.0142728,"3Dscan","macro",NA,NA,NA,NA,1441,3.94794520547945,"caribbean","saintCroix","saintCroix-north","caribbean.saintCroix",3.9904724728198,0.039904724728198,-4.54240351202868,NA,-0.869898218251214,10.7046487393014,-14.3771540330789
"atlantic","STX","north","Salt River",17.78532,-64.75953,15,"BMU","NCRMP",4985,"SUCCESSFULLY RECOVERED",2014-05-26,2018-05-06,3.95,"O.faveolata",15.6086,30.8748,11.569,1.349174518,NA,NA,NA,32.1326,11.45001047,NA,1.40225424,-0.092036517,-0.026953013,0.991175694,"3Dscan","macro",NA,NA,NA,NA,1441,3.94794520547945,"caribbean","saintCroix","saintCroix-north","caribbean.saintCroix",13.2748380754106,0.132748380754106,9.2050644766366,NA,-0.971354635235947,10.4608815726926,-0.284462460820032
"atlantic","PR","south","La Parguera",17.95355,-67.05065,15,"BMU","NCRMP",4923,"SUCCESSFULLY RECOVERED",2015-01-16,2018-03-01,3.12,"O.faveolata",14.0636,30.2116,10.64904372,1.320644404,NA,1.17428547,NA,30.3422,10.51484621,NA,1.39606302,-0.025234292,-0.108963218,0.08007167,"micro","macro",NA,NA,NA,NA,1140,3.12328767123288,"caribbean","puertoRico","puertoRico-southwest","caribbean.puertoRico",1.74228801169587,0.0174228801169587,-0.722073523391804,2.95865518092105,-0.336641687865497,1.06820758589181,-1.45363942141812
"atlantic","PR","south","La Parguera",17.95355,-67.05065,15,"BMU","NCRMP",4924,"SUCCESSFULLY RECOVERED",2015-01-16,2018-03-01,3.12,"O.faveolata",11.3535,28.0527,10.09845678,1.124280694,NA,1.285549356,NA,21.2363,3.775719555,NA,1.306378264,-0.263569604,-6.059167621,0.217452648,"micro","macro",NA,NA,NA,NA,1140,3.12328767123288,"caribbean","puertoRico","puertoRico-southwest","caribbean.puertoRico",-90.9351608187135,-0.909351608187135,-81.4484236332237,0.277871031432748,-3.51618806505848,2.90095820614035,-80.8331937743055
"atlantic","FGB","east","East Buoy 3",27.9074,-93.59925,20.1,"BMU","NCRMP",4921,"SUCCESSFULLY RECOVERED",2015-06-01,2019-06-03,4.01,"O. faveolata",16.0865,32.3202,10.9771,1.465459912,NA,1.62668736,35.854,32.684,8.34054,NA,1.633432,-0.0609999,-2.5755601,1.56664,"micro","macro",NA,NA,NA,NA,1463,4.00821917808219,"flowerGardenBanks","flowerGardenBanks","flowerGardenBanks-east","flowerGardenBanks.flowerGardenBanks",3.78181248575983,0.0378181248575983,-11.1221462747779,0.0701125996810204,-0.634112653793575,16.2857028935976,-26.7737365145819
"atlantic","DRTO","west","Bird Key Reef",24.61123,-82.87045,13.7,"BMU","NCRMP",4914,"SUCCESSFULLY RECOVERED",2015-09-02,2018-07-11,2.86,"O.faveolata",12.3017,27.8037,9.797457466,1.255601266,NA,1.617745034,NA,25.2274,7.00627327,NA,1.40847913,-0.212988854,-2.578195342,0.321942329,"micro","macro",NA,NA,NA,NA,1043,2.85753424657534,"florida","dryTortugas","dryTortugas-west","florida.dryTortugas",-37.5658956535634,-0.375658956535634,-36.0048450565276,-3.0513764365612,-3.1056620210131,4.69434923637744,-37.593532271892
"atlantic","DRTO","west","Bird Key Reef",24.61123,-82.87045,13.4,"BMU","NCRMP",4916,"SUCCESSFULLY RECOVERED",2015-09-02,2018-07-11,2.86,"O.faveolata",13.0151,29.0011,10.20439228,1.275440971,NA,1.537039963,NA,25.0901,6.959572792,NA,1.38537311,-0.207521439,-3.037298049,0.137063026,"micro","macro",NA,NA,NA,NA,1043,2.85753424657534,"florida","dryTortugas","dryTortugas-west","florida.dryTortugas",-57.0276046660275,-0.570276046660275,-45.3152408369287,-2.21150532698146,-3.02593980644775,1.99856202021413,-44.2878630506951
