"basin","region","subRegion","siteName","latitude","longitude","depth","intrumentType","projectCode","tagNum","fate","dateDeployment","dateRecovery","duration","species","dimensions","massBlockPre","massEpoxiedPre","volumeBlockPre","densityRWPre","densityHUPre","densityCTPre","massDirtyPost","massCleanPost","volumeBlockPost","densityHUPost","densityCTPost","macroboring","grazing","accretion","machinePre","machinePost","carbMDPre","carbEQPre","carbMDPost","carbEQPost","sa","notes","instrument"
"atlantic","FLK","upper","Cheeca Rocks",24.89742,-80.61573,5,"BMU","NCRMP",2178,"SUCCESSFULLY RECOVERED",2013-06-19,2017-03-29,3.78,"Orbicella sp.","5x2x1",NA,33.3421,NA,1.551698646,NA,1.72045488,30.9243,28.8598,4.735098839,NA,1.65161835,-0.068226814,NA,0.716428757,"3Dscan","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","FLK","upper","Cheeca Rocks",24.89742,-80.61573,5,"BMU","NCRMP",2181,"SUCCESSFULLY RECOVERED",2013-06-19,2017-03-29,3.78,"Orbicella sp.","5x2x1",NA,33.2149,NA,1.350194629,NA,1.54720432,34.1697,30.9789,7.552877426,NA,1.40928528,-0.16062355,NA,0.562911987,"3Dscan","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","FLK","upper","Cheeca Rocks",24.89742,-80.61573,5,"BMU","NCRMP",2182,"SUCCESSFULLY RECOVERED",2013-06-19,2017-03-29,3.78,"Orbicella sp.","5x2x1",NA,35.9652,NA,1.493906305,NA,1.68230607,33.6769,31.5271,6.728181839,NA,1.50760154,-0.112875938,NA,0.638614655,"3Dscan","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","FLK","upper","Cheeca Rocks",24.89742,-80.61573,5,"BMU","NCRMP",2183,"SUCCESSFULLY RECOVERED",2013-06-19,2017-03-29,3.78,"Orbicella sp.","5x2x1",NA,35.3131,NA,1.305400004,NA,1.51093774,28.5274,25.1312,3.388526917,NA,1.46055272,-0.031963348,NA,0.230764389,"3Dscan","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","FLK","upper","Cheeca Rocks",24.89742,-80.61573,5,"BMU","NCRMP",2184,"SUCCESSFULLY RECOVERED",2013-06-19,2017-03-29,3.78,"Orbicella sp.","5x2x1",NA,32.0953,NA,1.34997659,NA,1.54313396,33.8795,31.1685,7.349707603,NA,1.47173466,-0.065686226,NA,1.040353775,"3Dscan","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","FLK","upper","Cheeca Rocks",24.89742,-80.61573,5,"BMU","NCRMP",2179,"BASE ONLY",2013-06-19,2017-03-29,3.78,"Orbicella sp.","5x2x1",NA,30.9351,NA,1.33142,NA,NA,21.4783,19.1966,NA,NA,NA,NA,NA,NA,"3Dscan","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","FLK","upper","Cheeca Rocks",24.89742,-80.61573,5,"BMU","NCRMP",2180,"BASE ONLY",2013-06-19,2017-03-29,3.78,"Orbicella sp.","5x2x1",NA,35.4803,NA,1.434159,NA,NA,21.755,19.3191,NA,NA,NA,NA,NA,NA,"3Dscan","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","STX","north","Salt River",17.78532,-64.75953,15,"BMU","NCRMP",4981,"SUCCESSFULLY RECOVERED",2014-05-26,2018-05-06,3.95,"O.faveolata","5x2x1",14.0751,30.2675,12.496,1.126368438,NA,NA,NA,27.4437,9.76557827,NA,1.111160213,-0.718619545,2.011802185,0.838748528,"3Dscan","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","STX","north","Salt River",17.78532,-64.75953,15,"BMU","NCRMP",4982,"SUCCESSFULLY RECOVERED",2014-05-26,2018-05-06,3.95,"O.faveolata","5x2x1",13.2494,29.1637,12.14,1.091383855,NA,NA,NA,29.6147,10.47180383,NA,1.258118857,-0.176399748,1.491796422,1.268126388,"3Dscan","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","STX","north","Salt River",17.78532,-64.75953,15,"BMU","NCRMP",4983,"SUCCESSFULLY RECOVERED",2014-05-26,2018-05-06,3.95,"O.faveolata","5x2x1",12.0356,27.8296,11.81,1.019102456,NA,NA,NA,26.6422,9.441600804,NA,1.160875592,-0.148427444,2.219971752,0.605460033,"3Dscan","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","STX","north","Salt River",17.78532,-64.75953,15,"BMU","NCRMP",4984,"SUCCESSFULLY RECOVERED",2014-05-26,2018-05-06,3.95,"O.faveolata","5x2x1",12.0324,27.5485,11.243,1.070212577,NA,NA,NA,27.9266,9.798331356,NA,1.235390046,-0.082423452,1.362245192,1.0142728,"3Dscan","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","STX","north","Salt River",17.78532,-64.75953,15,"BMU","NCRMP",4985,"SUCCESSFULLY RECOVERED",2014-05-26,2018-05-06,3.95,"O.faveolata","5x2x1",15.6086,30.8748,11.569,1.349174518,NA,NA,NA,32.1326,11.45001047,NA,1.40225424,-0.092036517,0.026953013,0.991175694,"3Dscan","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","STT","south","Brewer's Bay",18.34402,-64.98453,10,"BMU","NCRMP",4980,"SUCCESSFULLY RECOVERED",2014-06-30,2017-08-15,3.13,"O.faveolata","5x2x1",13.0875,29.7677,10.721,1.220735006,NA,NA,21.3629,19.7504,2.578928947,NA,1.36913944,-0.065505981,8.07657,0.119768143,"micro","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","STT","south","Brewer's Bay",18.34402,-64.9845,10,"BMU","NCRMP",4976,"BASE ONLY",2014-06-30,2017-08-15,3.13,"O.faveolata","5x2x1",9.7555,26.1596,11.128,0.876662,NA,NA,16.8527,16.2627,NA,NA,NA,NA,NA,NA,"micro","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","STT","south","Brewer's Bay",18.34402,-64.9845,10,"BMU","NCRMP",4977,"BASE ONLY",2014-06-30,2017-08-15,3.13,"O.faveolata","5x2x1",9.6471,25.2667,11.051,0.872962,NA,NA,16.5484,12.9902,NA,NA,NA,NA,NA,NA,"micro","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","STT","south","Brewer's Bay",18.34402,-64.9845,10,"BMU","NCRMP",4978,"BASE ONLY",2014-06-30,2017-08-15,3.13,"O.faveolata","5x2x1",10.3008,26.656,11.328,0.909322,NA,NA,17.2814,16.6879,NA,NA,NA,NA,NA,NA,"micro","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","STT","south","Brewer's Bay",18.34402,-64.9845,10,"BMU","NCRMP",4979,"BASE ONLY",2014-06-30,2017-08-15,3.13,"O.faveolata","5x2x1",10.2208,25.3099,11.826,0.864265,NA,NA,15.8747,14.6419,NA,NA,NA,NA,NA,NA,"micro","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","PR","south","La Parguera",17.95355,-67.05065,15,"BMU","NCRMP",4923,"SUCCESSFULLY RECOVERED",2015-01-16,2018-03-01,3.12,"O.faveolata","5x2x1",14.0636,30.2116,10.64904372,1.320644404,NA,1.17428547,NA,30.3422,10.51484621,NA,1.39606302,-0.025234292,0.108963218,0.08007167,"micro","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","PR","south","La Parguera",17.95355,-67.05065,15,"BMU","NCRMP",4924,"SUCCESSFULLY RECOVERED",2015-01-16,2018-03-01,3.12,"O.faveolata","5x2x1",11.3535,28.0527,10.09845678,1.124280694,NA,1.285549356,NA,21.2363,3.775719555,NA,1.306378264,-0.263569604,6.059167621,0.217452648,"micro","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","PR","south","La Parguera",17.95355,-67.05065,15,"BMU","NCRMP",4925,"SUCCESSFULLY RECOVERED",2015-01-16,2018-03-01,3.12,"O.faveolata","5x2x1",13.066,29.3691,11.35269725,1.15091592,NA,1.296589509,NA,16.5508,0.207376098,NA,1.47015207,NA,11.14532115,0,"micro","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","PR","south","La Parguera",17.95355,-67.05065,15,"BMU","NCRMP",4926,"SUCCESSFULLY RECOVERED",2015-01-16,2018-03-01,3.12,"O.faveolata","5x2x1",16.43,33.4736,11.27088407,1.457738355,NA,0.830255409,NA,32.5599,10.83261804,NA,1.45127251,-0.369630878,0.068635152,0.05917184,"micro","macro",NA,NA,NA,NA,NA,NA,NA
"atlantic","PR","south","La Parguera",17.95355,-67.05065,15,"BMU","NCRMP",4927,"SUCCESSFULLY RECOVERED",2015-01-16,2018-03-01,3.12,"O.faveolata","5x2x1",14.2429,31.0073,10.02135343,1.421255133,NA,1.051298918,NA,22.2645,3.776474867,NA,1.63241578,-0.197891781,6.046986782,0.010419874,"micro","macro",NA,NA,NA,NA,NA,NA,NA
