basin,loc1,loc2,loc3,loc4,totalGravity
atlantic,florida,dryTortugas,dryTortugas-west,birdKeyReef,30
atlantic,flowerGardenBanks,flowerGardenBanks,flowerGardenBanks-east,eastBank,18
pacific,northwestHawaiianIslands,frenchFrigateShoals,frenchFrigateShoals-east,OCC-FFS-007,0
pacific,northwestHawaiianIslands,frenchFrigateShoals,frenchFrigateShoals-north,OCC-FFS-002,0
pacific,northwestHawaiianIslands,frenchFrigateShoals,frenchFrigateShoals-north,OCC-FFS-004,0
pacific,northwestHawaiianIslands,frenchFrigateShoals,frenchFrigateShoals-south,OCC-FFS-010,0
pacific,northwestHawaiianIslands,frenchFrigateShoals,frenchFrigateShoals-west,OCC-FFS-014,0
pacific,marianas,guam,guam-east,OCC-GUA-005,10
pacific,marianas,guam,guam-north,OCC-GUA-002,7
pacific,marianas,guam,guam-south,OCC-GUA-009,51
pacific,marianas,guam,guam-west,OCC-GUA-015,39
pacific,middleHawaiianIslands,hawaii,hawaii-east,OCC-HAW-066,55
pacific,middleHawaiianIslands,hawaii,hawaii-north,OCC-HAW-014,86
pacific,middleHawaiianIslands,hawaii,hawaii-north,OCC-HAW-002,86
pacific,middleHawaiianIslands,hawaii,hawaii-south,OCC-HAW-008,7
pacific,middleHawaiianIslands,hawaii,hawaii-west,OCC-HAW-010,21
pacific,pacificRemoteIslandArea,jarvis,jarvis-east,OCC-JAR-003,0
pacific,pacificRemoteIslandArea,jarvis,jarvis-south,OCC-JAR-008,0
pacific,pacificRemoteIslandArea,jarvis,jarvis-west,OCC-JAR-013,0
atlantic,florida,keys,keys-lki,LKI1,115
atlantic,florida,keys,keys-lki,LKI2,102
atlantic,florida,keys,keys-lko,LKO1,84
atlantic,florida,keys,keys-lko,LKO2,82
atlantic,florida,keys,keys-mki,MKI1,164
atlantic,florida,keys,keys-mki,MKI2,164
atlantic,florida,keys,keys-mko,MKO1,106
atlantic,florida,keys,keys-mko,MKO2,106
atlantic,florida,keys,keys-uki,cheecaRocks,185
atlantic,florida,keys,keys-uki,UKI2,831
atlantic,florida,keys,keys-uko,UKO3,185
atlantic,florida,keys,keys-uko,UKO1,164
pacific,marianas,maug,maug-east,OCC-MAU-005,0
pacific,marianas,maug,maug-innerHCO2,OCC-MAU-016,0
pacific,marianas,maug,maug-innerMCO2,OCC-MAU-018,0
pacific,marianas,maug,maug-north,OCC-MAU-002,0
pacific,marianas,maug,maug-south,OCC-MAU-019,0
pacific,marianas,maug,maug-west,OCC-MAU-008,0
pacific,middleHawaiianIslands,oahu,oahu-east,OCC-OAH-007,1067
pacific,middleHawaiianIslands,oahu,oahu-east,OCC-OAH-005,1067
pacific,middleHawaiianIslands,oahu,oahu-north,OCC-OAH-002,183
pacific,middleHawaiianIslands,oahu,oahu-south,OCC-OAH-010,3018
pacific,middleHawaiianIslands,oahu,oahu-southeast,OCC-OAH-008,7825
pacific,middleHawaiianIslands,oahu,oahu-southwest,OCC-OAH-014,433
pacific,middleHawaiianIslands,oahu,oahu-west,OCC-OAH-012,183
pacific,samoa,ofu,ofu-north,OCC-OFU-002,2
pacific,samoa,ofu,ofu-south,OCC-OFU-009,2
pacific,marianas,pagan,pagan-east,OCC-PAG-006,0
pacific,marianas,pagan,pagan-north,OCC-PAG-002,0
pacific,marianas,pagan,pagan-south,OCC-PAG-009,0
pacific,marianas,pagan,pagan-west,OCC-PAG-013,0
pacific,pacificRemoteIslandArea,palmyra,palmyra-east,OCC-PAL-008,0
pacific,pacificRemoteIslandArea,palmyra,palmyra-north,OCC-PAL-003,0
pacific,pacificRemoteIslandArea,palmyra,palmyra-west,OCC-PAL-017,0
pacific,northwestHawaiianIslands,pearlHermes,pearlHermes-east,OCC-PHR-007,0
pacific,northwestHawaiianIslands,pearlHermes,pearlHermes-north,OCC-PHR-002,0
pacific,northwestHawaiianIslands,pearlHermes,pearlHermes-south,OCC-PHR-012,0
pacific,northwestHawaiianIslands,pearlHermes,pearlHermes-west,OCC-PHR-016,0
atlantic,caribbean,puertoRico,puertoRico-east,fajardo,651
atlantic,caribbean,puertoRico,puertoRico-east,culebra,127
atlantic,caribbean,puertoRico,puertoRico-north,arecibo,1428
atlantic,caribbean,puertoRico,puertoRico-south,jabosBay,445
atlantic,caribbean,puertoRico,puertoRico-southwest,laParguera,1084
atlantic,caribbean,puertoRico,puertoRico-west,rincon,1220
atlantic,caribbean,saintCroix,saintCroix-east,langBank,42
atlantic,caribbean,saintCroix,saintCroix-north,saltRiver,184
atlantic,caribbean,saintCroix,saintCroix-south,south,934
atlantic,caribbean,saintCroix,saintCroix-west,spratHole,1599
atlantic,caribbean,saintJohn,saintJohn-east,newfound,197
atlantic,caribbean,saintJohn,saintJohn-north,johnsonsReef,483
atlantic,caribbean,saintJohn,saintJohn-south,tektite,197
atlantic,caribbean,saintJohn,saintJohn-west,stevenCay,483
atlantic,caribbean,saintThomas,saintThomas-east,sava,211
atlantic,caribbean,saintThomas,saintThomas-north,innerBrass,6900
atlantic,caribbean,saintThomas,saintThomas-south,brewersBay,6900
pacific,marianas,saipan,saipan-east,OCC-SAI-005,10
pacific,marianas,saipan,saipan-north,OCC-SAI-002,8
pacific,marianas,saipan,saipan-northwest,OCC-SAI-016,6
pacific,marianas,saipan,saipan-south,OCC-SAI-009,27
pacific,marianas,saipan,saipan-west,OCC-SAI-012,216
pacific,samoa,tau,tau-north,OCC-TAU-002,2
pacific,samoa,tau,tau-west,OCC-TAU-011,2
pacific,samoa,tutuila,tutuila-east,OCC-TUT-007,20
pacific,samoa,tutuila,tutuila-north,OCC-TUT-002,10
pacific,samoa,tutuila,tutuila-south,OCC-TUT-017,69
pacific,samoa,tutuila,tutuila-west,OCC-TUT-022,21
pacific,pacificRemoteIslandArea,wake,wake-east,OCC-WAK-005,0
pacific,pacificRemoteIslandArea,wake,wake-north,OCC-WAK-002,0
pacific,pacificRemoteIslandArea,wake,wake-south,OCC-WAK-008,0
pacific,pacificRemoteIslandArea,wake,wake-west,OCC-WAK-013,0
