SiteID,basin,loc1,loc2,loc3,Latitude,Longitude,JurisdictionName,SubjurisdictionName,MonitoringCycle,SampleDate,SamplingDesign,SampleTime_UTC,SampleDepth_m,TempInField_degC,Salinity_PSU,AragSatState,pCO2_uatm,pH_calculated,pH_measured,TA_umolperkg,DIC_umolperkg,Comments,x,y
WPT089,atlantic,florida,dryTortugas,dryTortugas-west,24.59439,-82.9127,Florida,Dry Tortugas,2014,6/6/14,Random,12:15,0,27.3,31.3,3.68,437.9,8.2085,,2393.06375,2066.5,,-82.9127,24.59439
WPT094,atlantic,florida,dryTortugas,dryTortugas-west,24.62311,-82.90161,Florida,Dry Tortugas,2014,6/6/14,Random,13:54,0,27.6,31.6,3.74,431.4,8.232,,2386.23734,2054.2,,-82.90161,24.62311
WPT098,atlantic,florida,dryTortugas,dryTortugas-west,24.66194,-82.85196,Florida,Dry Tortugas,2014,6/6/14,Random,15:52,0,27.5,31.8,3.59,455.6,8.25,,2379.731157,2064.1,,-82.85196,24.66194
WPT093,atlantic,florida,dryTortugas,dryTortugas-west,24.61348,-82.9023,Florida,Dry Tortugas,2014,6/6/14,Random,17:15,0,27.7,31.3,3.65,442.2,8.2505,,2379.861716,2058.6,,-82.9023,24.61348
WPT104,atlantic,florida,dryTortugas,dryTortugas-west,24.67166,-82.823,Florida,Dry Tortugas,2014,6/6/14,Random,19:33,0,27.8,32.2,3.62,449,8.245,,2371.657501,2053,,-82.823,24.67166
Ft.Jefferson Nside,atlantic,florida,dryTortugas,dryTortugas-west,24.62843,-82.87109,Florida,Dry Tortugas,2014,6/6/14,Random,23:50,0,29.1,32.5,4.23,364.6,8.3165,,2360.558007,1985.2,,-82.87109,24.62843
Ft.Jefferson Ferry Dock,atlantic,florida,dryTortugas,dryTortugas-west,24.62734,-82.87212,Florida,Dry Tortugas,2014,6/7/14,Random,0:04,0,29,32.3,4.77,289.5,8.3975,,2356.614689,1928.6,,-82.87212,24.62734
WPT128,atlantic,florida,dryTortugas,dryTortugas-west,24.62956,-82.96563,Florida,Dry Tortugas,2014,6/8/14,Random,12:04,0,27.5,31.9,3.75,421.8,8.195,,2378.790165,2047.6,,-82.96563,24.62956
WPT134,atlantic,florida,dryTortugas,dryTortugas-west,24.64082,-82.96691,Florida,Dry Tortugas,2014,6/8/14,Random,16:13,0,28.3,32,3.76,440.2,8.199,,2383.475386,2053.5,,-82.96691,24.64082
WPT139,atlantic,florida,dryTortugas,dryTortugas-west,24.67026,-82.92754,Florida,Dry Tortugas,2014,6/8/14,Random,17:08,0,29.8,32.1,3.74,480.4,8.1755,,2389.112586,2064.1,,-82.92754,24.67026
WPT145,atlantic,florida,dryTortugas,dryTortugas-west,24.65858,-82.93819,Florida,Dry Tortugas,2014,6/8/14,Random,20:43,0,30.2,32.7,3.8,475.9,8.194,,2386.244844,2056.4,,-82.93819,24.65858
WPT168,atlantic,florida,dryTortugas,dryTortugas-west,24.6179,-82.86545,Florida,Dry Tortugas,2014,6/9/14,Random,18:20,0,29.9,32.6,3.58,509.5,8.161,,2375.092959,2064.6,,-82.86545,24.6179
WPT174,atlantic,florida,dryTortugas,dryTortugas-west,24.634513,-82.857874,Florida,Dry Tortugas,2014,6/9/14,Random,20:25,0,29,32.4,3.73,462.2,8.186,,2383.493055,2057.7,,-82.857874,24.634513
WPT161,atlantic,florida,dryTortugas,dryTortugas-west,24.5928,-82.88509,Florida,Dry Tortugas,2014,6/9/14,Random,,0,28.9,32.8,3.74,453.3,8.17,,2376.917048,2049.9,,-82.88509,24.5928
2312,atlantic,florida,dryTortugas,dryTortugas-west,24.61123,-82.87045,Florida,Dry Tortugas,2016,5/13/16,Random,19:47,0,26.8,36.16103647,3.561641872,452.4797808,8.008384032,,2396.258467,2082.4,,-82.87045,24.61123
2329,atlantic,florida,dryTortugas,dryTortugas-west,24.61123,-82.87045,Florida,Dry Tortugas,2016,5/13/16,Random,20:29,0,25.7,36.17579415,3.592422529,422.9540623,8.034279541,,2398.309335,2080.5,,-82.87045,24.61123
2360,atlantic,florida,dryTortugas,dryTortugas-west,24.61123,-82.87045,Florida,Dry Tortugas,2016,5/13/16,Random,18:26,0,26.7,36.02644746,3.55613117,449.2634015,8.012638694,,2395.312017,2084.4,,-82.87045,24.61123
2678,atlantic,florida,dryTortugas,dryTortugas-west,24.5566,-82.93233,Florida,Dry Tortugas,2016,5/13/16,Random,18:59,0,25.7,36.13125345,3.537980053,435.1070564,8.022934216,,2399.017881,2084.5,,-82.93233,24.5566
2678,atlantic,florida,dryTortugas,dryTortugas-west,24.5566,-82.93233,Florida,Dry Tortugas,2018,6/8/18,Random,18:59,0,27.9,36.32512845,3.753413232,432.7545284,8.021846827,,2385.082172,2084.5,,-82.93233,24.5566
2295,atlantic,florida,dryTortugas,dryTortugas-west,24.61123,-82.87045,Florida,Dry Tortugas,2016,5/14/16,Random,17:55,0,26.5,36.2373633,3.542714974,446.359565,8.01206192,,2389.24128,2075.8,,-82.87045,24.61123
2370,atlantic,florida,dryTortugas,dryTortugas-west,24.61123,-82.87045,Florida,Dry Tortugas,2016,5/14/16,Random,20:25,0,27.8,36.12732333,3.575097416,472.1580048,7.99208727,,2395.266253,2081.8,,-82.87045,24.61123
2373,atlantic,florida,dryTortugas,dryTortugas-west,24.61123,-82.87045,Florida,Dry Tortugas,2016,5/14/16,Random,14:54,0,26.2,36.24391309,3.665946639,424.4917145,8.032640929,,2406.541417,2081.4,,-82.87045,24.61123
