OBJECTID,SiteID,Basin,Latitude,Longitude,JurisdictionName,SubjurisdictionName,MonitoringCycle,SampleDate,SamplingDesign,SampleTime_UTC,SampleDepth_m,TempInField_degC,Salinity_PSU,AragSatState,pCO2_uatm,pH_calculated,pH_measured,TA_umolperkg,DIC_umolperkg,Comments,x,y
1,GUA-1593,Pacific,13.57233611,144.82333001,Guam,Guam,2014,3/25/2014,Random,1:46:00 AM,13.7,27.92,34.5341,3.74043289245008,371.723358877644,8.06090829039044,,2262.8,1934.1,,144.82333001,13.57233611
2,GUA-1376,Pacific,13.24282212,144.71452335,Guam,Guam,2014,3/26/2014,Random,1:07:00 AM,11.9,27.9687,34.6569,3.8519429796817,357.94640460413,8.07460845872763,,2269.2,1930,,144.71452335,13.24282212
3,GUA-1601,Pacific,13.36006139,144.63743415,Guam,Guam,2014,3/26/2014,Random,11:54:00 PM,13.7,27.9273,34.6004,3.78353080536748,366.292000033536,8.06626086303977,,2265.7,1932.8,,144.63743415,13.3600613900001
4,GUA-1421,Pacific,13.4065605,144.78561848,Guam,Guam,2014,3/27/2014,Random,11:48:00 PM,15.2,28.0222,34.6928,3.76425932063293,372.590944395274,8.06031890791341,,2268.1,1937.1,,144.78561848,13.4065605000001
5,GUA-1422,Pacific,13.31136983,144.77396521,Guam,Guam,2014,3/28/2014,Random,1:29:00 AM,13.7,28.0419,34.6782,3.89027267199025,360.91157740578,8.0743051837324,,2286.3,1944.5,,144.77396521,13.31136983
6,GUA-1435,Pacific,13.45442536,144.84086202,Guam,Guam,2014,3/29/2014,Random,12:51:00 AM,15.8,28.106,34.7095,3.73446514255668,378.332154246656,8.05453440348512,,2266.5,1938.3,,144.84086202,13.4544253600001
7,GUA-1472,Pacific,13.60560413,144.91601508,Guam,Guam,2014,3/30/2014,Random,1:02:00 AM,15.2,28.069,34.6462,3.84584470028507,360.896923006924,8.07174294561061,,2269.6,1931.2,,144.91601508,13.6056041300001
8,GUA-1503,Pacific,13.47107258,144.69134915,Guam,Guam,2014,4/4/2014,Random,2:59:00 AM,15.8,27.9778,34.7621,3.61924478460541,396.335071894744,8.03841003157601,,2267.2,1949.5,,144.69134915,13.47107258
9,GUA-2193,Pacific,13.33668209,144.64161202,Guam,Guam,2017,5/5/2017,Random,1:49:00 AM,6.1,29.3131,34.1367,3.69918623696372,394.464790832269,8.03644617851287,,2238.7,1918,,144.64161202,13.3366820900001
10,GUA-2166,Pacific,13.36865528,144.64200245,Guam,Guam,2017,5/5/2017,Random,4:17:00 AM,13.1,29.4079,34.1495,3.83730448283333,374.368582377885,8.0549091936951,,2243.6,1909.9,,144.64200245,13.36865528
11,GUA-2140,Pacific,13.618708,144.833644,Guam,Guam,2017,5/8/2017,Random,3:05:00 AM,12.5,29.3174,34.1994,3.7415892118505,389.970649156169,8.04105349840865,,2245.6,1920.7,,144.833644,13.618708
12,GUA-1906,Pacific,13.525638,144.930614,Guam,Guam,2017,5/9/2017,Random,1:30:00 AM,14.6,29.1317,34.1907,3.70608011593867,393.0008175001,8.03879193576083,,2246.9,1925,,144.930614,13.5256380000001
