basin,region,subRegion,island,siteName,yearFishSurvey,siteFishSurvey,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,habitatFishSurvey,excavatorDensity,excavatorBiomass,excavatorBioerosion,scraperDensity,scraperBiomass,scraperBioerosion,totalDensity,totalBiomass,totalBioerosion
atlantic,DRTO,west,NA,Bird Key Reef,2016,2141U,24.60041312,-82.87337354,24.60041312,-82.87337354,SPGR_LR,84.74576271,5.837160757,0.071189745,0,0,0,84.74576271,5.837160757,0.071189745
atlantic,DRTO,west,NA,Bird Key Reef,2016,2142U,24.600005,-82.872275,24.600005,-82.872275,SPGR_HR,317.7966102,166.8143651,0.75603081,0,0,0,317.7966102,166.8143651,0.75603081
atlantic,DRTO,west,NA,Bird Key Reef,2016,2143U,24.61121046,-82.87047,24.61121046,-82.87047,SPGR_HR,134.180791,13.28599713,0.27292436,0,0,0,134.180791,13.28599713,0.27292436
atlantic,DRTO,west,NA,Bird Key Reef,2016,2146U,24.59171835,-82.88101318,24.59171835,-82.88101318,SPGR_LR,120.0564972,62.89589305,0.998801268,0,0,0,120.0564972,62.89589305,0.998801268
atlantic,DRTO,west,NA,Bird Key Reef,2016,2147U,24.59150648,-82.87433973,24.59150648,-82.87433973,SPGR_HR,98.8700565,15.74098421,0.317235468,42.37288136,1.280463004,0.004372291,141.2429379,17.02144721,0.321607759
atlantic,DRTO,west,NA,Bird Key Reef,2016,2166U,24.58932494,-82.88459494,24.58932494,-82.88459494,SPGR_HR,42.37288136,3.562296598,0.075947863,0,0,0,42.37288136,3.562296598,0.075947863
atlantic,DRTO,west,NA,Bird Key Reef,2016,2258U,24.58649908,-82.88755135,24.58649908,-82.88755135,SPGR_LR,240.1129944,11.41039735,0.296456624,14.12429379,0.216163919,0.00145743,254.2372881,11.62656127,0.297914055
atlantic,DRTO,west,NA,Bird Key Reef,2016,2551U,24.58292487,-82.88840484,24.58292487,-82.88840484,CONT_MR,28.24858757,2.1473363,0.075947863,28.24858757,0.324195731,0.00291486,56.49717514,2.471532031,0.078862723
atlantic,DRTO,west,NA,Bird Key Reef,2016,2576U,24.59858582,-82.87165051,24.59858582,-82.87165051,SPGR_HR,70.62146893,6.364872985,0.099677778,0,0,0,70.62146893,6.364872985,0.099677778
atlantic,DRTO,west,NA,Bird Key Reef,2016,2577U,24.59761899,-82.87083412,24.59761899,-82.87083412,CONT_MR,310.7344633,14.94063531,0.352425643,28.24858757,12.30479675,0.072279412,338.9830508,27.24543206,0.424705055
atlantic,DRTO,west,NA,Bird Key Reef,2016,2580U,24.60273717,-82.87375567,24.60273717,-82.87375567,SPGR_HR,190.6779661,20.83167813,0.105375695,0,0,0,190.6779661,20.83167813,0.105375695
atlantic,DRTO,west,NA,Bird Key Reef,2016,2581U,24.61012901,-82.87097967,24.61012901,-82.87097967,SPGR_HR,56.49717514,5.621815911,0.166532502,42.37288136,0.54035965,0.004372291,98.8700565,6.162175562,0.170904792
atlantic,DRTO,west,NA,Bird Key Reef,2018,2189U,24.58261524,-82.89143049,24.58261524,-82.89143049,SPGR_HR,84.74576271,22.53754516,0.455291875,70.62146893,0.120645848,0,155.3672316,22.65819101,0.455291875
atlantic,DRTO,west,NA,Bird Key Reef,2018,2337U,24.59531958,-82.88599518,24.59531958,-82.88599518,CONT_MR,112.9943503,14.58890519,0.289349784,0,0,0,112.9943503,14.58890519,0.289349784
atlantic,DRTO,west,NA,Bird Key Reef,2018,2341U,24.59544,-82.883944,24.59544,-82.883944,CONT_LR,70.62146893,5.672180743,0.163760683,0,0,0,70.62146893,5.672180743,0.163760683
atlantic,DRTO,west,NA,Bird Key Reef,2018,2770U,24.58301576,-82.88912,24.58301576,-82.88912,SPGR_HR,98.8700565,23.19544983,0.533421146,14.12429379,0.010185878,0,112.9943503,23.20563571,0.533421146
atlantic,DRTO,west,NA,Bird Key Reef,2018,2856U,24.60654829,-82.87320449,24.60654829,-82.87320449,SPGR_HR,84.74576271,9.977992862,0.177807049,0,0,0,84.74576271,9.977992862,0.177807049
atlantic,DRTO,west,NA,Bird Key Reef,2018,2857U,24.60507991,-82.87389995,24.60507991,-82.87389995,SPGR_HR,480.2259887,259.1116668,0.844607365,84.74576271,2.794752379,0.020551523,564.9717514,261.9064192,0.865158888
atlantic,DRTO,west,NA,Bird Key Reef,2021,2229,24.61165,-82.87114,24.61165,-82.87114,SPGR_HR,84.74576271,23.34510138,0.531239738,0,0,0,84.74576271,23.34510138,0.531239738
atlantic,DRTO,west,NA,Bird Key Reef,2021,2373,24.58943,-82.88391,24.58943,-82.88391,SPGR_HR,56.49717514,7.476890681,0.020667069,0,0,0,56.49717514,7.476890681,0.020667069
