basin,region,subRegion,island,siteName,yearFishSurvey,siteFishSurvey,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,boundaryNumber,habitatFishSurvey,density_ind_PSU,biomass_kg_PSU,density_ind_m2,biomass_g_m2,density_ind_ha,biomass_kg_ha
atlantic,DRTO,west,,birdKeyReef,2016,2073U,24.60684558,-82.87195053,24.60684558,-82.87195053,,SPGR_HR,7.75,0.046341061,,,437.8531073,2.61813904
atlantic,DRTO,west,,birdKeyReef,2016,2141U,24.60041312,-82.87337354,24.60041312,-82.87337354,,SPGR_LR,14.25,0.531479159,,,805.0847458,30.02707113
atlantic,DRTO,west,,birdKeyReef,2016,2142U,24.600005,-82.872275,24.600005,-82.872275,,SPGR_HR,27.625,3.62901355,,,1560.734463,205.0290141
atlantic,DRTO,west,,birdKeyReef,2016,2143U,24.61121046,-82.87047,24.61121046,-82.87047,,SPGR_HR,21.625,0.470791484,,,1221.751412,26.59838893
atlantic,DRTO,west,,birdKeyReef,2016,2146U,24.59171835,-82.88101318,24.59171835,-82.88101318,,SPGR_LR,23.875,1.511962521,,,1348.870056,85.42161136
atlantic,DRTO,west,,birdKeyReef,2016,2147U,24.59150648,-82.87433973,24.59150648,-82.87433973,,SPGR_HR,23.5,0.662611996,,,1327.683616,37.43570599
atlantic,DRTO,west,,birdKeyReef,2016,2166U,24.58932494,-82.88459494,24.58932494,-82.88459494,,SPGR_HR,14.25,0.147575997,,,805.0847458,8.337626949
atlantic,DRTO,west,,birdKeyReef,2018,2166U,24.59322542,-82.88966559,24.59322542,-82.88966559,,CONT_LR,1.25,0.005638811,,,70.62146893,0.318576893
atlantic,DRTO,west,,birdKeyReef,2018,2189U,24.58261524,-82.89143049,24.58261524,-82.89143049,,SPGR_HR,19.25,0.685299209,,,1087.570621,38.71746944
atlantic,DRTO,west,,birdKeyReef,2021,2229,24.61165,-82.87114,24.61165,-82.87114,,SPGR_HR,10.5,0.553910714,,,593.220339,31.29439062
atlantic,DRTO,west,,birdKeyReef,2016,2258U,24.58649908,-82.88755135,24.58649908,-82.88755135,,SPGR_LR,38.75,0.550640632,,,2189.265537,31.10964023
atlantic,DRTO,west,,birdKeyReef,2018,2337U,24.59531958,-82.88599518,24.59531958,-82.88599518,,CONT_MR,10.5,0.395173795,,,593.220339,22.32620311
atlantic,DRTO,west,,birdKeyReef,2018,2341U,24.59544,-82.883944,24.59544,-82.883944,,CONT_LR,11.5,0.38017058,,,649.7175141,21.47856384
atlantic,DRTO,west,,birdKeyReef,2021,2373,24.58943,-82.88391,24.58943,-82.88391,,SPGR_HR,8.5,0.190186548,,,480.2259887,10.74500271
atlantic,DRTO,west,,birdKeyReef,2016,2551U,24.58292487,-82.88840484,24.58292487,-82.88840484,,CONT_MR,23.4865,0.237985365,,,1326.920904,13.44550085
atlantic,DRTO,west,,birdKeyReef,2016,2576U,24.59858582,-82.87165051,24.59858582,-82.87165051,,SPGR_HR,13.5,0.181224388,,,762.7118644,10.23866599
atlantic,DRTO,west,,birdKeyReef,2016,2577U,24.59761899,-82.87083412,24.59761899,-82.87083412,,CONT_MR,26.75,0.573732368,,,1511.299435,32.41425808
atlantic,DRTO,west,,birdKeyReef,2016,2580U,24.60273717,-82.87375567,24.60273717,-82.87375567,,SPGR_HR,23.125,0.673928132,,,1306.497175,38.07503571
atlantic,DRTO,west,,birdKeyReef,2016,2581U,24.61012901,-82.87097967,24.61012901,-82.87097967,,SPGR_HR,21.25,0.653357892,,,1200.564972,36.91287525
atlantic,DRTO,west,,birdKeyReef,2018,2770U,24.58301576,-82.88912,24.58301576,-82.88912,,SPGR_HR,10.5,0.597480064,,,593.220339,33.75593582
atlantic,DRTO,west,,birdKeyReef,2018,2856U,24.60654829,-82.87320449,24.60654829,-82.87320449,,SPGR_HR,16.75,0.321706962,,,946.3276836,18.17553458
atlantic,DRTO,west,,birdKeyReef,2018,2857U,24.60507991,-82.87389995,24.60507991,-82.87389995,,SPGR_HR,22.25,5.300548848,,,1257.062147,299.4660366
atlantic,FGB,east,,eastBank,2018,7190,27.9091,-93.60069,27.9091,-93.60069,,HR,1.5,0.320424652,,,84.74576271,18.10308768
atlantic,FGB,east,,eastBank,2018,7208,27.9092,-93.60012,27.9092,-93.60012,,HR,3.5,1.773222209,,,197.740113,100.1820457
atlantic,FGB,east,,eastBank,2018,7246,27.90907,-93.59922,27.90907,-93.59922,,HR,2.5,0.913150159,,,141.2429379,51.59040446
atlantic,FGB,east,,eastBank,2018,7302,27.90515,-93.59765,27.90515,-93.59765,,HR,3.5,0.652604791,,,197.740113,36.87032718
atlantic,FGB,east,,eastBank,2018,7304,27.9058,-93.59762,27.9058,-93.59762,,HR,1,0.328422944,,,56.49717514,18.55496859
atlantic,FGB,east,,eastBank,2018,7339,27.90671,-93.59649,27.90671,-93.59649,,HR,1.5,0.175090134,,,84.74576271,9.892097966
atlantic,FGB,east,,eastBank,2018,7400,27.9096,-93.5973,27.9096,-93.5973,,HR,1.5,0.600659915,,,84.74576271,33.93558842
atlantic,FGB,east,,eastBank,2018,7401,27.9094,-93.5973,27.9094,-93.5973,,HR,5.5,1.235781303,,,310.7344633,69.81815271
atlantic,FGB,east,,eastBank,2018,7402,27.9094,-93.5975,27.9094,-93.5975,,HR,6,0.494143735,,,338.9830508,27.91772514
atlantic,FGB,east,,eastBank,2018,7403,27.9096,-93.5975,27.9096,-93.5975,,HR,3,0.186148416,,,169.4915254,10.51685966
atlantic,FGB,east,,eastBank,2018,7404,27.9075,-93.5991,27.9075,-93.5991,,HR,4,0.275453437,,,225.9887006,15.56234107
atlantic,FGB,east,,eastBank,2018,7405,27.9073,-93.5991,27.9073,-93.5991,,HR,3,1.849675316,,,169.4915254,104.5014303
atlantic,FGB,east,,eastBank,2018,7406,27.9073,-93.5994,27.9073,-93.5994,,HR,1.5,1.251769827,,,84.74576271,70.72145915
atlantic,FGB,east,,eastBank,2018,7407,27.9075,-93.5994,27.9075,-93.5994,,HR,2.5,0.368499175,,,141.2429379,20.81916243
atlantic,FGB,east,,eastBank,2018,7408,27.9087,-93.5997,27.9087,-93.5997,,HR,5,0.291731261,,,282.4858757,16.48199215
atlantic,FGB,east,,eastBank,2018,7409,27.9087,-93.5999,27.9087,-93.5999,,HR,2,0.451880411,,,112.9943503,25.52996672
atlantic,FGB,east,,eastBank,2018,7410,27.9089,-93.5999,27.9089,-93.5999,,HR,4,1.316772472,,,225.9887006,74.39392497
atlantic,FGB,east,,eastBank,2022,9044,27.90807,-93.60203,27.90807,-93.60203,,HR,2,0.497475574,,,112.9943503,28.10596463
atlantic,FGB,east,,eastBank,2022,9045,27.90875,-93.60218,27.90875,-93.60218,,HR,11,3.198134925,,,621.4689266,180.685589
atlantic,FGB,east,,eastBank,2022,9046,27.90995,-93.60215,27.90995,-93.60215,,HR,6.5,0.671215742,,,367.2316384,37.92179333
atlantic,FGB,east,,eastBank,2022,9048,27.90948,-93.60183,27.90948,-93.60183,,HR,9,1.160915433,,,508.4745763,65.58844254
atlantic,FGB,east,,eastBank,2022,9049,27.91183,-93.60093,27.91183,-93.60093,,HR,5.5,0.962029821,,,310.7344633,54.35196729
atlantic,FGB,east,,eastBank,2022,9050,27.9073,-93.6006,27.9073,-93.6006,,HR,6,1.80729618,,,338.9830508,102.1071288
atlantic,FGB,east,,eastBank,2022,9051,27.91122,-93.6006,27.91122,-93.6006,,HR,3.5,0.750796571,,,197.740113,42.41788537
atlantic,FGB,east,,eastBank,2022,9052,27.9115,-93.60038,27.9115,-93.60038,,HR,2.5,1.791904023,,,141.2429379,101.2375154
atlantic,FGB,east,,eastBank,2022,9057,27.9068,-93.6001,27.9068,-93.6001,,HR,1,0.137288869,,,56.49717514,7.756433277
atlantic,FGB,east,,eastBank,2022,9058,27.91127,-93.59983,27.91127,-93.59983,,HR,2,1.606086924,,,112.9943503,90.73937424
atlantic,FGB,east,,eastBank,2022,9061,27.9116,-93.5995,27.9116,-93.5995,,HR,5,2.252403075,,,282.4858757,127.254411
atlantic,FGB,east,,eastBank,2022,9064,27.90683,-93.5991,27.90683,-93.5991,,HR,2,1.117541031,,,112.9943503,63.13791136
atlantic,FGB,east,,eastBank,2022,9065,27.90873,-93.599,27.90873,-93.599,,HR,4.5,2.665080938,,,254.2372881,150.5695445
atlantic,FGB,east,,eastBank,2022,9066,27.9107,-93.59916,27.9107,-93.59916,,HR,2.5,1.098022544,,,141.2429379,62.03517198
atlantic,FGB,east,,eastBank,2022,9068,27.90873,-93.59863,27.90873,-93.59863,,HR,4,1.570890549,,,225.9887006,88.75087847
atlantic,FGB,east,,eastBank,2022,9069,27.90922,-93.59868,27.90922,-93.59868,,HR,4,1.753208708,,,225.9887006,99.05133944
atlantic,FGB,east,,eastBank,2022,9070,27.9094,-93.5985,27.9094,-93.5985,,HR,4,2.843834058,,,225.9887006,160.6685908
atlantic,FGB,east,,eastBank,2022,9071,27.91053,-93.59882,27.91053,-93.59882,,HR,3,1.075030172,,,169.4915254,60.73616791
atlantic,FGB,east,,eastBank,2022,9074,27.90453,-93.59774,27.90453,-93.59774,,HR,5.5,2.007601998,,,310.7344633,113.4238417
atlantic,FGB,east,,eastBank,2022,9075,27.90626,-93.59783,27.90626,-93.59783,,HR,4.5,1.169465645,,,254.2372881,66.07150537
atlantic,FGB,east,,eastBank,2022,9076,27.90853,-93.59795,27.90853,-93.59795,,HR,2,1.583249612,,,112.9943503,89.44913062
atlantic,FGB,east,,eastBank,2022,9081,27.9099,-93.5971,27.9099,-93.5971,,HR,5.5,1.281762731,,,310.7344633,72.4159735
atlantic,FGB,east,,eastBank,2022,9082,27.90511,-93.59661,27.90511,-93.59661,,HR,3,0.615939115,,,169.4915254,34.79882006
atlantic,FGB,east,,eastBank,2022,9087,27.90502,-93.59593,27.90502,-93.59593,,LR,4.5,1.193655342,,,254.2372881,67.43815492
atlantic,FLK,lower,,inshore,2018,1002U,24.5679043,-81.65905089,24.5679043,-81.65905089,,ISOL_LR,2.5,0.005814391,,,141.2429379,0.328496667
atlantic,FLK,lower,,inshore,2018,1008U,24.55260118,-81.68615984,24.55260118,-81.68615984,,ISOL_LR,13.5,2.474386483,,,762.7118644,139.7958465
atlantic,FLK,lower,,inshore,2018,1009U,24.55058022,-81.69836871,24.55058022,-81.69836871,,ISOL_LR,9.25,0.045836374,,,522.5988701,2.58962565
atlantic,FLK,lower,,inshore,2018,1034U,24.57757575,-81.43966258,24.57757575,-81.43966258,,ISOL_MR,6.5,0.242997765,,,367.2316384,13.72868729
atlantic,FLK,lower,,inshore,2018,1036U,24.56209522,-81.55650754,24.56209522,-81.55650754,,ISOL_MR,11.75,1.199406659,,,663.8418079,67.76308808
atlantic,FLK,lower,,inshore,2022,1037,24.57847,-81.43934,24.57847,-81.43934,,ISOL_HR,34,0.707088978,,,1920.903955,39.94852983
atlantic,FLK,lower,,inshore,2022,1055,24.55509,-81.56663,24.55509,-81.56663,,ISOL_HR,9,0.028340007,,,508.4745763,1.601130339
atlantic,FLK,lower,,inshore,2022,1063,24.5775,-81.4438,24.5775,-81.4438,,CONT_HR,18,0.198070225,,,1016.949153,11.19040819
atlantic,FLK,lower,,inshore,2022,1369,24.55046,-81.70069,24.55046,-81.70069,,ISOL_HR,27.5,4.510445609,,,1553.672316,254.8274355
atlantic,FLK,lower,,inshore,2016,1370U,24.55887556,-81.50894045,24.55887556,-81.50894045,,ISOL_LR,11.75,0.48178689,,,663.8418079,27.21959831
atlantic,FLK,lower,,inshore,2016,1371U,24.57063196,-81.45806196,24.57063196,-81.45806196,,ISOL_MR,31.5,0.09348203,,,1779.661017,5.281470621
atlantic,FLK,lower,,inshore,2016,1373U,24.58476519,-81.44386008,24.58476519,-81.44386008,,ISOL_MR,29.375,1.336746072,,,1659.60452,75.52237695
atlantic,FLK,lower,,inshore,2018,1531U,24.55920827,-81.50610575,24.55920827,-81.50610575,,ISOL_MR,29.25,1.512697435,,,1652.542373,85.46313192
atlantic,FLK,lower,,inshore,2018,1532U,24.55076627,-81.58693736,24.55076627,-81.58693736,,ISOL_MR,7.25,0.385878709,,,409.6045198,21.80105701
atlantic,FLK,lower,,inshore,2018,1534U,24.56132516,-81.50220968,24.56132516,-81.50220968,,ISOL_LR,11.75,0.906268153,,,663.8418079,51.20159056
atlantic,FLK,lower,,inshore,2022,1849,24.55269,-81.70299,24.55269,-81.70299,,ISOL_LR,0.5,0.00000832,,,28.24858757,0.000470056
atlantic,FLK,lower,,offshore,2022,1084,24.55588,-81.43408,24.55588,-81.43408,,ISOL_LR,0,0,,,0,0
atlantic,FLK,lower,,offshore,2022,1087,24.52081,-81.59098,24.52081,-81.59098,,CONT_MR,5.5,0.02313117,,,310.7344633,1.306845763
atlantic,FLK,lower,,offshore,2022,1089,24.50689,-81.59154,24.50689,-81.59154,,RUBB_MR,4,1.089084693,,,225.9887006,61.53020864
atlantic,FLK,lower,,offshore,2022,1095,24.54847,-81.4527,24.54847,-81.4527,,CONT_MR,0,0,,,0,0
atlantic,FLK,lower,,offshore,2022,1097,24.52027,-81.59045,24.52027,-81.59045,,CONT_MR,7.5,0.66695872,,,423.7288136,37.68128362
atlantic,FLK,lower,,offshore,2022,1166,24.51023,-81.5676,24.51023,-81.5676,,CONT_MR,1,0.004043303,,,56.49717514,0.228435198
atlantic,FLK,lower,,offshore,2022,1168,24.51019,-81.56821,24.51019,-81.56821,,CONT_LR,7,0.358855543,,,395.480226,20.27432446
atlantic,FLK,lower,,offshore,2022,1170,24.55312,-81.43715,24.55312,-81.43715,,CONT_MR,30,4.777548917,,,1694.915254,269.9180179
atlantic,FLK,lower,,offshore,2018,1174U,24.54304129,-81.44363313,24.54304129,-81.44363313,,CONT_MR,0,0,,,0,0
atlantic,FLK,lower,,offshore,2018,1176U,24.55160517,-81.43135404,24.55160517,-81.43135404,,CONT_LR,10.75,0.022638413,,,607.3446328,1.279006384
atlantic,FLK,lower,,offshore,2022,1231,24.53316,-81.4674,24.53316,-81.4674,,SPGR_MR,5.5,0.015215046,,,310.7344633,0.859607119
atlantic,FLK,lower,,offshore,2018,1231U,24.53820555,-81.45357891,24.53820555,-81.45357891,,SPGR_LR,5.75,0.182465825,,,324.8587571,10.30880367
atlantic,FLK,lower,,offshore,2018,1261U,24.50559126,-81.58700013,24.50559126,-81.58700013,,SPGR_HR,12.25,0.508394552,,,692.0903955,28.72285605
atlantic,FLK,lower,,offshore,2018,1311U,24.52963985,-81.47153006,24.52963985,-81.47153006,,SPGR_LR,3.5,0.049886581,,,197.740113,2.818450904
atlantic,FLK,lower,,offshore,2016,1393U,24.52469745,-81.57616767,24.52469745,-81.57616767,,CONT_LR,6,1.272448647,,,338.9830508,71.88975407
atlantic,FLK,lower,,offshore,2016,1406U,24.50961574,-81.57145042,24.50961574,-81.57145042,,SPGR_HR,19.55,7.936445244,,,1104.519774,448.3867369
atlantic,FLK,lower,,offshore,2016,1431U,24.53993406,-81.47143099,24.53993406,-81.47143099,,CONT_LR,0,0,,,0,0
atlantic,FLK,lower,,offshore,2016,1439U,24.51482436,-81.56417336,24.51482436,-81.56417336,,CONT_LR,1.25,0.050188915,,,70.62146893,2.835531921
atlantic,FLK,lower,,offshore,2016,1441U,24.54112909,-81.44360579,24.54112909,-81.44360579,,CONT_LR,9.75,0.254270801,,,550.8474576,14.36558198
atlantic,FLK,lower,,offshore,2016,1479U,24.53360212,-81.45719371,24.53360212,-81.45719371,,SPGR_LR,23.375,0.701061905,,,1320.621469,39.60801723
atlantic,FLK,lower,,offshore,2018,1671U,24.54406173,-81.44120859,24.54406173,-81.44120859,,CONT_LR,4.25,0.011689364,,,240.1129944,0.660416045
atlantic,FLK,lower,,offshore,2018,1674U,24.55325294,-81.44021988,24.55325294,-81.44021988,,CONT_LR,15.25,2.626264216,,,861.5819209,148.3765094
atlantic,FLK,middle,,inshore,2022,1004,24.69326,-81.03875,24.69326,-81.03875,,CONT_LR,12.5,0.695708958,,,706.2146893,39.30559085
atlantic,FLK,middle,,inshore,2022,1005,24.69657,-81.05188,24.69657,-81.05188,,ISOL_LR,9.5,0.015459109,,,536.7231638,0.873395989
atlantic,FLK,middle,,inshore,2018,1011U,24.69558449,-81.05188063,24.69558449,-81.05188063,,ISOL_LR,30.75,3.88527573,,,1737.288136,219.5071034
atlantic,FLK,middle,,inshore,2022,1039,24.66643,-81.07462,24.66643,-81.07462,,ISOL_MR,4.5,0.099319609,,,254.2372881,5.611277345
atlantic,FLK,middle,,inshore,2018,1049U,24.66762896,-81.07011,24.66762896,-81.07011,,ISOL_MR,15.25,1.682071345,,,861.5819209,95.03227938
atlantic,FLK,middle,,inshore,2018,1053U,24.69007737,-81.03385969,24.69007737,-81.03385969,,ISOL_MR,17.25,1.544954321,,,974.5762712,87.28555486
atlantic,FLK,middle,,inshore,2016,1245U,24.69644325,-81.0525045,24.69644325,-81.0525045,,ISOL_LR,10.375,0.043870469,,,586.1581921,2.478557571
atlantic,FLK,middle,,inshore,2016,1250U,24.65112471,-81.14212341,24.65112471,-81.14212341,,ISOL_LR,11.5,0.030369893,,,649.7175141,1.715813164
atlantic,FLK,middle,,inshore,2016,1251U,24.6659054,-81.07067434,24.6659054,-81.07067434,,ISOL_MR,11.2505,0.383228837,,,635.6214689,21.65134672
atlantic,FLK,middle,,inshore,2018,1552U,24.6737305,-81.06303122,24.6737305,-81.06303122,,ISOL_LR,8.5,0.227775786,,,480.2259887,12.86868847
atlantic,FLK,middle,,offshore,2016,1285U,24.62694073,-81.10913474,24.62694073,-81.10913474,,SPGR_HR,15.1255,1.038747073,,,854.5480226,58.68627531
atlantic,FLK,middle,,offshore,2018,1285U,24.62592795,-81.11145353,24.62592795,-81.11145353,,SPGR_HR,20.5,16.47433414,,,1158.19209,930.7533412
atlantic,FLK,middle,,offshore,2016,1286U,24.6261719,-81.10806356,24.6261719,-81.10806356,,SPGR_HR,12.375,2.322319244,,,699.1525424,131.2044771
atlantic,FLK,middle,,offshore,2018,1286U,24.62666862,-81.11020829,24.62666862,-81.11020829,,SPGR_HR,14.5,3.066719418,,,819.2090395,173.2609841
atlantic,FLK,middle,,offshore,2018,1327U,24.62440408,-81.11544076,24.62440408,-81.11544076,,CONT_MR,10,2.399390373,,,564.9717514,135.5587781
atlantic,FLK,middle,,offshore,2016,1335U,24.62346394,-81.10883832,24.62346394,-81.10883832,,SPGR_LR,33.9155,0.780270514,,,1916.129944,44.08307989
atlantic,FLK,middle,,offshore,2016,1336U,24.6253241,-81.10534289,24.6253241,-81.10534289,,SPGR_LR,29,0.457920418,,,1638.418079,25.87121006
atlantic,FLK,middle,,offshore,2016,1339U,24.62532504,-81.10173443,24.62532504,-81.10173443,,SPGR_LR,14.8755,0.124167428,,,840.4237288,7.015108927
atlantic,FLK,middle,,offshore,2018,1344U,24.62451473,-81.11385521,24.62451473,-81.11385521,,SPGR_LR,1,0.20984029,,,56.49717514,11.85538362
atlantic,FLK,middle,,offshore,2018,1345U,24.62249909,-81.11342,24.62249909,-81.11342,,SPGR_LR,18.25,5.97976923,,,1031.073446,337.8400695
atlantic,FLK,middle,,offshore,2022,1405,24.62538,-81.11225,24.62538,-81.11225,,SPGR_HR,26,1.938445542,,,1468.926554,109.5166973
atlantic,FLK,middle,,offshore,2022,1435,24.62442,-81.11379,24.62442,-81.11379,,CONT_MR,5,0.614652005,,,282.4858757,34.72610198
atlantic,FLK,middle,,offshore,2022,1436,24.62554,-81.11239,24.62554,-81.11239,,SPGR_HR,16,0.791250054,,,903.9548023,44.70339288
atlantic,FLK,middle,,offshore,2022,1477,24.62201,-81.11191,24.62201,-81.11191,,SPGR_HR,4,0.242098531,,,225.9887006,13.67788311
atlantic,FLK,middle,,offshore,2022,1478,24.62547,-81.10481,24.62547,-81.10481,,SPGR_HR,12,0.124849685,,,677.9661017,7.05365452
atlantic,FLK,middle,,offshore,2016,1657U,24.63236558,-81.09090326,24.63236558,-81.09090326,,SPGR_HR,21.001,3.955289969,,,1186.497175,223.4627101
atlantic,FLK,middle,,offshore,2022,1680,24.63308,-81.08176,24.63308,-81.08176,,SPGR_MR,20.5,11.85167593,,,1158.19209,669.5862105
atlantic,FLK,middle,,offshore,2022,9036,24.62724,-81.11044,24.62724,-81.11044,,CONT_MR,5,0.172738845,,,282.4858757,9.75925678
atlantic,FLK,middle,,offshore,2022,9069,24.6249,-81.11135,24.6249,-81.11135,,CONT_LR,3,0.143124832,,,169.4915254,8.086148701
atlantic,FLK,middle,,offshore,2022,9070,24.62589,-81.1104,24.62589,-81.1104,,SPGR_HR,9.5,4.289882105,,,536.7231638,242.3662206
atlantic,FLK,middle,,offshore,2022,9151,24.62678,-81.11092,24.62678,-81.11092,,SPGR_HR,10.5,3.111028724,,,593.220339,175.7643347
atlantic,FLK,middle,,offshore,2022,9194,24.62538,-81.11042,24.62538,-81.11042,,SPGR_MR,2,0.028825995,,,112.9943503,1.628587288
atlantic,FLK,upper,,inshore,2022,1006,24.9495,-80.55454,24.9495,-80.55454,,ISOL_LR,0.5,0.000547757,,,28.24858757,0.030946723
atlantic,FLK,upper,,inshore,2018,1013U,24.94848519,-80.55135261,24.94848519,-80.55135261,,ISOL_LR,0.25,0.001484339,,,14.12429379,0.08386096
