basin,ncrmpRegion,region,subRegion,siteName,PRIMARY_SAMPLE_UNIT,YEAR,LAT_DEGREES,LON_DEGREES,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,perryDensity,density_ind_ha,deltaDensity,perryBiomass,biomass_kg_ha,deltaBiomass,bioerosion_kg_m2_yr1
atlantic,FLK,FLK,upper,inshore,1006,2022,24.9495,-80.55454,24.9495,-80.55454,24.9495,-80.55454,56.81818182,84.74576271,-27.92758089,0.31736037,0.050074689,0.267285681,0
atlantic,FLK,FLK,upper,inshore,1013,2018,24.948485,-80.55135,24.94848519,-80.55135261,24.94848519,-80.55135261,0,14.12429379,-14.12429379,0,0.08386096,-0.08386096,0
atlantic,FLK,FLK,upper,inshore,1014,2018,24.94973,-80.55353,24.94973,-80.55353,24.94973,-80.55353,151.4204545,150.5649718,0.8554827,12.89863647,9.909280847,2.989355623,0.034579043
atlantic,FLK,FLK,upper,inshore,1016,2022,24.95192,-80.53704,24.95192,-80.53704,24.95192,-80.53704,426.1363636,847.4576271,-421.3212635,54.88773041,87.94543418,-33.05770377,0.211844258
atlantic,FLK,FLK,upper,inshore,1057,2018,24.93351,-80.5495,24.93350975,-80.5494998,24.93350975,-80.5494998,809.6590909,1892.655367,-1082.996276,125.4922363,154.8240184,-29.3317821,0.525435546
atlantic,FLK,FLK,upper,inshore,1058,2018,24.902215,-80.616585,24.9022216,-80.61657546,24.9022216,-80.61657546,284.0909091,338.9830508,-54.8921417,5.352728775,5.703463616,-0.350734841,6.81E-04
atlantic,FLK,FLK,upper,inshore,1059,2018,24.90313,-80.6175,24.90323,-80.61779,24.90323,-80.61779,930.3977273,1892.655367,-962.2576397,14.03883487,13.29562113,0.74321374,0.004018933
atlantic,FLK,FLK,upper,inshore,1059,2018,24.90313,-80.6175,24.90303,-80.61721,24.90303,-80.61721,930.3977273,635.5932203,294.804507,14.03883487,0.731141469,13.3076934,0.004018933
atlantic,FLK,FLK,upper,inshore,1077,2022,24.90207,-80.61317,24.90207,-80.61317,24.90207,-80.61317,0,0,0,0,0,0,0
atlantic,FLK,FLK,upper,offshore,1126,2022,24.86615,-80.58682,24.86615,-80.58682,24.86615,-80.58682,85.22727273,84.74576271,0.48151002,6.7044262,11.46737288,-4.76294668,0.002231667
atlantic,FLK,FLK,upper,offshore,1175,2022,24.89777,-80.53732,24.89777,-80.53732,24.89777,-80.53732,312.5,564.9717514,-252.4717514,17.42094563,18.72858073,-1.3076351,0.169740434
atlantic,FLK,FLK,upper,offshore,1236,2022,24.88056,-80.56252,24.88056,-80.56252,24.88056,-80.56252,795.4545455,1186.440678,-390.9861325,113.6646779,135.7188127,-22.0541348,1.681887956
atlantic,FLK,FLK,upper,inshore,1247,2016,24.94292,-80.55428,24.94290273,-80.55424373,24.94290273,-80.55424373,745.7670455,2323.474576,-1577.707531,355.8849706,494.6028963,-138.7179257,0.813059483
atlantic,FLK,FLK,upper,inshore,1253,2016,24.90866,-80.610115,24.9086602,-80.6101151,24.9086602,-80.6101151,14.20454545,14.12429379,0.08025166,0.07686889,0.001864407,0.075004483,0
