basin,region,subRegion,island,siteName,yearFishSurvey,siteFishSurvey,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,boundaryNumber,habitatFishSurvey,fxnGroup,density_ind_m2,biomass_g_m2,density_ind_PSU,biomass_kg_PSU,density_ind_ha,biomass_kg_ha
atlantic,DRTO,west,,birdKeyReef,2021,2229,24.61165,-82.87114,24.61165,-82.87114,,SPGR_HR,excavator,,,1.5,0.505293635,84.74576271,28.54766299
atlantic,DRTO,west,,birdKeyReef,2021,2229,24.61165,-82.87114,24.61165,-82.87114,,SPGR_HR,scraper,,,9,0.048617079,508.4745763,2.746727627
atlantic,DRTO,west,,birdKeyReef,2021,2373,24.58943,-82.88391,24.58943,-82.88391,,SPGR_HR,excavator,,,1,0.149463033,56.49717514,8.444239153
atlantic,DRTO,west,,birdKeyReef,2021,2373,24.58943,-82.88391,24.58943,-82.88391,,SPGR_HR,scraper,,,7.5,0.040723515,423.7288136,2.300763559
atlantic,DRTO,west,,birdKeyReef,2016,2073U,24.60684558,-82.87195053,24.60684558,-82.87195053,,SPGR_HR,excavator,,,0,0,0,0
atlantic,DRTO,west,,birdKeyReef,2016,2073U,24.60684558,-82.87195053,24.60684558,-82.87195053,,SPGR_HR,scraper,,,7.75,0.046341061,437.8531073,2.61813904
atlantic,DRTO,west,,birdKeyReef,2016,2141U,24.60041312,-82.87337354,24.60041312,-82.87337354,,SPGR_LR,excavator,,,1.5,0.134284419,84.74576271,7.586690339
atlantic,DRTO,west,,birdKeyReef,2016,2141U,24.60041312,-82.87337354,24.60041312,-82.87337354,,SPGR_LR,scraper,,,12.75,0.39719474,720.3389831,22.44038079
atlantic,DRTO,west,,birdKeyReef,2016,2142U,24.600005,-82.872275,24.600005,-82.872275,,SPGR_HR,excavator,,,5.625,3.348427114,317.7966102,189.1766731
atlantic,DRTO,west,,birdKeyReef,2016,2142U,24.600005,-82.872275,24.600005,-82.872275,,SPGR_HR,scraper,,,22,0.280586436,1242.937853,15.85234102
atlantic,DRTO,west,,birdKeyReef,2016,2143U,24.61121046,-82.87047,24.61121046,-82.87047,,SPGR_HR,excavator,,,2.375,0.296088271,134.180791,16.7281509
atlantic,DRTO,west,,birdKeyReef,2016,2143U,24.61121046,-82.87047,24.61121046,-82.87047,,SPGR_HR,scraper,,,19.25,0.174703213,1087.570621,9.870238023
atlantic,DRTO,west,,birdKeyReef,2016,2146U,24.59171835,-82.88101318,24.59171835,-82.88101318,,SPGR_LR,excavator,,,2.125,1.324022746,120.0564972,74.80354497
atlantic,DRTO,west,,birdKeyReef,2016,2146U,24.59171835,-82.88101318,24.59171835,-82.88101318,,SPGR_LR,scraper,,,21.75,0.187939775,1228.813559,10.61806638
atlantic,DRTO,west,,birdKeyReef,2016,2147U,24.59150648,-82.87433973,24.59150648,-82.87433973,,SPGR_HR,excavator,,,1.75,0.345249782,98.8700565,19.5056374
atlantic,DRTO,west,,birdKeyReef,2016,2147U,24.59150648,-82.87433973,24.59150648,-82.87433973,,SPGR_HR,scraper,,,21.75,0.317362214,1228.813559,17.93006859
atlantic,DRTO,west,,birdKeyReef,2016,2166U,24.58932494,-82.88459494,24.58932494,-82.88459494,,SPGR_HR,excavator,,,0.75,0.07845973,42.37288136,4.432753107
atlantic,DRTO,west,,birdKeyReef,2018,2166U,24.59322542,-82.88966559,24.59322542,-82.88966559,,CONT_LR,excavator,,,0,0,0,0
atlantic,DRTO,west,,birdKeyReef,2016,2166U,24.58932494,-82.88459494,24.58932494,-82.88459494,,SPGR_HR,scraper,,,13.5,0.069116267,762.7118644,3.904873842
atlantic,DRTO,west,,birdKeyReef,2018,2166U,24.59322542,-82.88966559,24.59322542,-82.88966559,,CONT_LR,scraper,,,1.25,0.005638811,70.62146893,0.318576893
atlantic,DRTO,west,,birdKeyReef,2018,2189U,24.58261524,-82.89143049,24.58261524,-82.89143049,,SPGR_HR,excavator,,,1.5,0.482389827,84.74576271,27.25366254
atlantic,DRTO,west,,birdKeyReef,2018,2189U,24.58261524,-82.89143049,24.58261524,-82.89143049,,SPGR_HR,scraper,,,17.75,0.202909382,1002.824859,11.46380689
atlantic,DRTO,west,,birdKeyReef,2016,2258U,24.58649908,-82.88755135,24.58649908,-82.88755135,,SPGR_LR,excavator,,,4.25,0.253689861,240.1129944,14.33276051
atlantic,DRTO,west,,birdKeyReef,2016,2258U,24.58649908,-82.88755135,24.58649908,-82.88755135,,SPGR_LR,scraper,,,34.5,0.296950771,1949.152542,16.77687972
atlantic,DRTO,west,,birdKeyReef,2018,2337U,24.59531958,-82.88599518,24.59531958,-82.88599518,,CONT_MR,excavator,,,2,0.320511202,112.9943503,18.10797751
atlantic,DRTO,west,,birdKeyReef,2018,2337U,24.59531958,-82.88599518,24.59531958,-82.88599518,,CONT_MR,scraper,,,8.5,0.074662593,480.2259887,4.218225593
atlantic,DRTO,west,,birdKeyReef,2018,2341U,24.59544,-82.883944,24.59544,-82.883944,,CONT_LR,excavator,,,1.25,0.127011533,70.62146893,7.175792825
atlantic,DRTO,west,,birdKeyReef,2018,2341U,24.59544,-82.883944,24.59544,-82.883944,,CONT_LR,scraper,,,10.25,0.253159047,579.0960452,14.30277102
atlantic,DRTO,west,,birdKeyReef,2016,2551U,24.58292487,-82.88840484,24.58292487,-82.88840484,,CONT_MR,excavator,,,0.5,0.048345056,28.24858757,2.731359096
atlantic,DRTO,west,,birdKeyReef,2016,2551U,24.58292487,-82.88840484,24.58292487,-82.88840484,,CONT_MR,scraper,,,22.9865,0.189640309,1298.672316,10.71414175
atlantic,DRTO,west,,birdKeyReef,2016,2576U,24.59858582,-82.87165051,24.59858582,-82.87165051,,SPGR_HR,excavator,,,1.25,0.140076792,70.62146893,7.913943051
atlantic,DRTO,west,,birdKeyReef,2016,2576U,24.59858582,-82.87165051,24.59858582,-82.87165051,,SPGR_HR,scraper,,,12.25,0.041147596,692.0903955,2.324722938
atlantic,DRTO,west,,birdKeyReef,2016,2577U,24.59761899,-82.87083412,24.59761899,-82.87083412,,CONT_MR,excavator,,,5.5,0.339163311,310.7344633,19.16176898
atlantic,DRTO,west,,birdKeyReef,2016,2577U,24.59761899,-82.87083412,24.59761899,-82.87083412,,CONT_MR,scraper,,,21.25,0.234569057,1200.564972,13.2524891
atlantic,DRTO,west,,birdKeyReef,2016,2580U,24.60273717,-82.87375567,24.60273717,-82.87375567,,SPGR_HR,excavator,,,3.375,0.428794125,190.6779661,24.22565678
atlantic,DRTO,west,,birdKeyReef,2016,2580U,24.60273717,-82.87375567,24.60273717,-82.87375567,,SPGR_HR,scraper,,,19.75,0.245134007,1115.819209,13.84937893
atlantic,DRTO,west,,birdKeyReef,2016,2581U,24.61012901,-82.87097967,24.61012901,-82.87097967,,SPGR_HR,excavator,,,1,0.122591163,56.49717514,6.926054407
atlantic,DRTO,west,,birdKeyReef,2016,2581U,24.61012901,-82.87097967,24.61012901,-82.87097967,,SPGR_HR,scraper,,,20.25,0.530766729,1144.067797,29.98682085
atlantic,DRTO,west,,birdKeyReef,2018,2770U,24.58301576,-82.88912,24.58301576,-82.88912,,SPGR_HR,excavator,,,1.75,0.493939334,98.8700565,27.90617706
atlantic,DRTO,west,,birdKeyReef,2018,2770U,24.58301576,-82.88912,24.58301576,-82.88912,,SPGR_HR,scraper,,,8.75,0.10354073,494.3502825,5.849758757
atlantic,DRTO,west,,birdKeyReef,2018,2856U,24.60654829,-82.87320449,24.60654829,-82.87320449,,SPGR_HR,excavator,,,1.5,0.211627836,84.74576271,11.95637492
atlantic,DRTO,west,,birdKeyReef,2018,2856U,24.60654829,-82.87320449,24.60654829,-82.87320449,,SPGR_HR,scraper,,,15.25,0.110079126,861.5819209,6.219159661
atlantic,DRTO,west,,birdKeyReef,2018,2857U,24.60507991,-82.87389995,24.60507991,-82.87389995,,SPGR_HR,excavator,,,8.5,5.15147009,480.2259887,291.0435079
atlantic,DRTO,west,,birdKeyReef,2018,2857U,24.60507991,-82.87389995,24.60507991,-82.87389995,,SPGR_HR,scraper,,,13.75,0.149078758,776.8361582,8.422528701
atlantic,FGB,east,,eastBank,2018,7190,27.9091,-93.60069,27.9091,-93.60069,,HR,excavator,,,1,0.081474652,56.49717514,4.603087684
atlantic,FGB,east,,eastBank,2018,7190,27.9091,-93.60069,27.9091,-93.60069,,HR,scraper,,,0.5,0.23895,28.24858757,13.5
atlantic,FGB,east,,eastBank,2018,7208,27.9092,-93.60012,27.9092,-93.60012,,HR,excavator,,,3,1.509571859,169.4915254,85.28654571
atlantic,FGB,east,,eastBank,2018,7208,27.9092,-93.60012,27.9092,-93.60012,,HR,scraper,,,0.5,0.26365035,28.24858757,14.8955
atlantic,FGB,east,,eastBank,2018,7246,27.90907,-93.59922,27.90907,-93.59922,,HR,excavator,,,1.5,0.868563859,84.74576271,49.07140446
atlantic,FGB,east,,eastBank,2018,7246,27.90907,-93.59922,27.90907,-93.59922,,HR,scraper,,,1,0.0445863,56.49717514,2.519
atlantic,FGB,east,,eastBank,2018,7302,27.90515,-93.59765,27.90515,-93.59765,,HR,excavator,,,1,0.410530741,56.49717514,23.19382718
atlantic,FGB,east,,eastBank,2018,7302,27.90515,-93.59765,27.90515,-93.59765,,HR,scraper,,,2.5,0.24207405,141.2429379,13.6765
atlantic,FGB,east,,eastBank,2018,7304,27.9058,-93.59762,27.9058,-93.59762,,HR,excavator,,,0.5,0.190141694,28.24858757,10.74246859
atlantic,FGB,east,,eastBank,2018,7304,27.9058,-93.59762,27.9058,-93.59762,,HR,scraper,,,0.5,0.13828125,28.24858757,7.8125
atlantic,FGB,east,,eastBank,2018,7339,27.90671,-93.59649,27.90671,-93.59649,,HR,excavator,,,1.5,0.175090134,84.74576271,9.892097966
atlantic,FGB,east,,eastBank,2018,7339,27.90671,-93.59649,27.90671,-93.59649,,HR,scraper,,,0,0,0,0
atlantic,FGB,east,,eastBank,2018,7400,27.9096,-93.5973,27.9096,-93.5973,,HR,excavator,,,0.5,0.405818315,28.24858757,22.92758842
atlantic,FGB,east,,eastBank,2018,7400,27.9096,-93.5973,27.9096,-93.5973,,HR,scraper,,,1,0.1948416,56.49717514,11.008
atlantic,FGB,east,,eastBank,2018,7401,27.9094,-93.5973,27.9094,-93.5973,,HR,excavator,,,2,0.447753795,112.9943503,25.29682458
atlantic,FGB,east,,eastBank,2018,7401,27.9094,-93.5973,27.9094,-93.5973,,HR,scraper,,,3.5,0.788027508,197.740113,44.52132814
atlantic,FGB,east,,eastBank,2018,7402,27.9094,-93.5975,27.9094,-93.5975,,HR,excavator,,,1.5,0.472585135,84.74576271,26.69972514
atlantic,FGB,east,,eastBank,2018,7402,27.9094,-93.5975,27.9094,-93.5975,,HR,scraper,,,4.5,0.0215586,254.2372881,1.218
atlantic,FGB,east,,eastBank,2018,7403,27.9096,-93.5975,27.9096,-93.5975,,HR,excavator,,,3,0.186148416,169.4915254,10.51685966
