basin,region,subRegion,island,siteName,yearFishSurvey,siteFishSurvey,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,boundaryNumber,habitatFishSurvey,fxnGroup,species,density_ind_m2,biomass_g_m2,density_ind_PSU,biomass_kg_PSU,density_ind_ha,biomass_kg_ha
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2014,6655,13.60119819,144.9354076,13.6033,144.92365,3,PAV,Excavator,,0,0,,,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2014,6655,13.60119819,144.9354076,13.6033,144.92365,3,PAV,Scraper,,0.019805948,7.276268368,,,198.0594847,72.76268368
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2014,6656,13.61763049,144.9053256,13.6033,144.92365,3,AGR,Excavator,,0,0,,,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2014,6656,13.61763049,144.9053256,13.6033,144.92365,3,AGR,Scraper,,0.008488264,1.014233151,,,84.88263631,10.1423315
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2014,6659,13.60173714,144.9476443,13.6033,144.92365,3,AGR,Excavator,,0,0,,,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2014,6659,13.60173714,144.9476443,13.6033,144.92365,3,AGR,Scraper,,0.016976527,4.488846478,,,169.7652726,44.88846478
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2014,6660,13.61366887,144.9077283,13.6033,144.92365,3,AGR,Excavator,,0,0,,,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2014,6660,13.61366887,144.9077283,13.6033,144.92365,3,AGR,Scraper,,0.011317684,2.132799026,,,113.1768484,21.32799026
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2017,10675,13.602456,144.927007,13.6033,144.92365,3,AGR,Excavator,,0,0,,,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2017,10675,13.602456,144.927007,13.6033,144.92365,3,AGR,Scraper,,0.008488263,1.542983508,,,84.88263632,15.42983508
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2017,10676,13.627403,144.900122,13.6033,144.92365,3,AGR,Excavator,,0,0,,,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2017,10676,13.627403,144.900122,13.6033,144.92365,3,AGR,Scraper,,0,0,,,0,0
