basin,region,subRegion,island,siteName,yearFishSurvey,siteFishSurvey,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,boundaryNumber,habitatFishSurvey,density_ind_PSU,biomass_kg_PSU,density_ind_m2,biomass_g_m2,density_ind_ha,biomass_kg_ha
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2014,6655,13.60119819,144.9354076,13.6033,144.92365,3,PAV,,,0.019805948,7.276268368,198.0594847,72.76268368
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2014,6656,13.61763049,144.9053256,13.6033,144.92365,3,AGR,,,0.008488264,1.014233151,84.88263631,10.1423315
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2014,6659,13.60173714,144.9476443,13.6033,144.92365,3,AGR,,,0.016976527,4.488846478,169.7652726,44.88846478
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2014,6660,13.61366887,144.9077283,13.6033,144.92365,3,AGR,,,0.011317684,2.132799026,113.1768484,21.32799026
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2017,10675,13.602456,144.927007,13.6033,144.92365,3,AGR,,,0.008488263,1.542983508,84.88263632,15.42983508
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2017,10676,13.627403,144.900122,13.6033,144.92365,3,AGR,,,0,0,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2017,10692,13.607038,144.913937,13.6033,144.92365,3,AGR,,,0.011317684,0.46327135,113.1768484,4.632713502
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2017,10696,13.602218,144.924638,13.6033,144.92365,3,AGR,,,0.084882635,17.25541689,848.8263631,172.5541688
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2017,10697,13.620567,144.904726,13.6033,144.92365,3,AGR,,,0,0,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2017,10698,13.601128,144.935517,13.6033,144.92365,3,PAV,,,0,0,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2022,38209,13.606343,144.912645,13.6033,144.92365,3,AGR,,,0,0,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2022,38210,13.613472,144.907106,13.6033,144.92365,3,AGR,,,0.022635368,4.425214882,226.3536968,44.25214882
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2022,38211,13.601756,144.926739,13.6033,144.92365,3,PAV,,,0,0,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-002,2022,39665,13.601914,144.929723,13.6033,144.92365,3,AGR,,,0.056588425,18.95133199,565.884242,189.5133199
pacific,MARIAN,GUA,Guam,OCC-GUA-005,2014,6633,13.46689839,144.8589869,13.47516,144.86485,2,AGR,,,0.005658842,1.72499405,56.58842421,17.2499405
pacific,MARIAN,GUA,Guam,OCC-GUA-005,2014,6634,13.47940553,144.8676742,13.47516,144.86485,2,AGR,,,0.016976527,1.58558472,169.7652726,15.8558472
pacific,MARIAN,GUA,Guam,OCC-GUA-005,2014,6635,13.48836394,144.8755297,13.47516,144.86485,2,PAV,,,0.011317684,0.927644623,113.1768484,9.276446232
pacific,MARIAN,GUA,Guam,OCC-GUA-005,2014,6637,13.44992529,144.8367388,13.47516,144.86485,2,AGR,,,0.039611895,5.27928998,396.1189694,52.79289979
pacific,MARIAN,GUA,Guam,OCC-GUA-005,2014,6638,13.51632924,144.9201938,13.47516,144.86485,2,AGR,,,0.028294212,3.170811923,282.942121,31.70811922
pacific,MARIAN,GUA,Guam,OCC-GUA-005,2017,10757,13.4744,144.866672,13.47516,144.86485,2,AGR,,,0.005658842,1.947286291,56.58842421,19.47286291
pacific,MARIAN,GUA,Guam,OCC-GUA-005,2017,10758,13.462509,144.848806,13.47516,144.86485,2,AGR,,,0,0,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-005,2017,10759,13.488822,144.878894,13.47516,144.86485,2,AGR,,,0.011317685,0.966976058,113.1768484,9.669760578
pacific,MARIAN,GUA,Guam,OCC-GUA-005,2017,10760,13.514761,144.919844,13.47516,144.86485,2,AGR,,,0.008488263,0.784328177,84.88263632,7.843281769
pacific,MARIAN,GUA,Guam,OCC-GUA-005,2017,10761,13.510671,144.900755,13.47516,144.86485,2,AGR,,,0.011317684,1.106078097,113.1768484,11.06078097
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7369,13.24119989,144.7073594,13.24126317,144.7044194,1,AGR,,,0,0,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7370,13.24106603,144.701416,13.24126317,144.7044194,1,AGR,,,0.022635369,0.478288384,226.3536968,4.782883833
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7371,13.24155511,144.7027728,13.24126317,144.7044194,1,AGR,,,0.028294211,7.739111239,282.942121,77.39111239
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7372,13.2401871,144.7090573,13.24126317,144.7044194,1,AGR,,,0.028294211,7.609761668,282.942121,76.09761668
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7373,13.24080057,144.7038539,13.24126317,144.7044194,1,AGR,,,0.053759002,21.43018404,537.5900299,214.3018404
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7375,13.23960347,144.7024407,13.24126317,144.7044194,1,AGR,,,0.02546479,14.5900422,254.6479089,145.900422
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7376,13.24031568,144.6989525,13.24126317,144.7044194,1,AGR,,,0.011317685,1.059493109,113.1768484,10.59493109
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7377,13.23930466,144.69993,13.24126317,144.7044194,1,AGR,,,0,0,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7378,13.24115572,144.6993153,13.24126317,144.7044194,1,AGR,,,0.011317685,2.826489253,113.1768484,28.26489253
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7380,13.24014955,144.6995307,13.24126317,144.7044194,1,AGR,,,0.005658842,0.340102392,56.58842421,3.401023921
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7381,13.24196842,144.7070559,13.24126317,144.7044194,1,AGR,,,0.019805948,14.9668422,198.0594847,149.668422
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7404,13.24055096,144.7066532,13.24126317,144.7044194,1,AGR,,,0.016976527,2.038880194,169.7652726,20.38880194
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7406,13.24158059,144.7095064,13.24126317,144.7044194,1,AGR,,,0.014147106,2.242733801,141.4710605,22.42733801
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7407,13.24150415,144.704575,13.24126317,144.7044194,1,AGR,,,0.02546479,3.404222191,254.647909,34.0422219
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7429,13.24143,144.70323,13.24126317,144.7044194,1,AGR,,,0.011317685,9.607865605,113.1768484,96.07865605
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7430,13.24101,144.70282,13.24126317,144.7044194,1,AGR,,,0,0,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7431,13.24126,144.70511,13.24126317,144.7044194,1,AGR,,,0.011317684,1.164409726,113.1768484,11.64409726
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7432,13.24155,144.70546,13.24126317,144.7044194,1,AGR,,,0.011317684,3.912791296,113.1768484,39.12791296
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7433,13.24113,144.70784,13.24126317,144.7044194,1,AGR,,,0,0,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7434,13.23984,144.70201,13.24126317,144.7044194,1,AGR,,,0.011317684,1.630665642,113.1768484,16.30665642
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7436,13.24108,144.7074,13.24126317,144.7044194,1,AGR,,,0.005658842,2.653562449,56.58842421,26.53562449
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7437,13.24146,144.70703,13.24126317,144.7044194,1,AGR,,,0.016976526,12.66712075,169.7652726,126.6712075
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7438,13.24173,144.70428,13.24126317,144.7044194,1,AGR,,,0,0,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2014,7439,13.24117,144.70831,13.24126317,144.7044194,1,AGR,,,0,0,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2017,10648,13.238751,144.700778,13.24126317,144.7044194,1,AGR,,,0,0,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2017,10654,13.240796,144.704281,13.24126317,144.7044194,1,AGR,,,0.016976527,1.650271942,169.7652726,16.50271942
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2017,10664,13.241914,144.702539,13.24126317,144.7044194,1,AGR,,,0.011317685,1.271744768,113.1768484,12.71744767
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2022,38221,13.240269,144.709578,13.24126317,144.7044194,1,PAV,,,0,0,0,0
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2022,39761,13.242237,144.708318,13.24126317,144.7044194,1,PAV,,,0.036782475,1.536757058,367.8247573,15.36757058
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2022,39762,13.238558,144.699641,13.24126317,144.7044194,1,PAV,,,0.02546479,4.520873446,254.6479089,45.20873446
pacific,MARIAN,GUA,Guam,OCC-GUA-009,2022,39763,13.24087,144.700048,13.24126317,144.7044194,1,PSC,,,0.028294212,2.737586267,282.942121,27.37586268
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2014,6575,13.52449891,144.8013113,13.52894,144.80037,4,AGR,,,0.039611897,6.634530244,396.1189694,66.34530244
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2014,6584,13.51760245,144.7988612,13.52894,144.80037,4,PPR,,,0.033953054,3.234997826,339.5305452,32.34997826
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2014,6695,13.51085166,144.7925651,13.52894,144.80037,4,AGR,,,0.005658842,0.279354515,56.58842421,2.793545149
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2017,10616,13.51658,144.798918,13.52894,144.80037,4,AGR,,,0.016976526,2.518883105,169.7652726,25.18883105
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2017,10619,13.511408,144.789049,13.52894,144.80037,4,AGR,,,0.005658842,0.83893297,56.58842421,8.389329697
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2017,10623,13.533337,144.79993,13.52894,144.80037,4,AGR,,,0.005658842,0.879748675,56.58842421,8.797486745
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2022,38144,13.534073,144.799662,13.52894,144.80037,4,AGR,,,0.008488263,1.008700881,84.88263632,10.08700881
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2022,39420,13.512066,144.789584,13.52894,144.80037,4,AGR,,,0.022635369,3.234509471,226.3536968,32.3450947
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2022,39421,13.518771,144.797351,13.52894,144.80037,4,PAV,,,0.008488263,0.929190771,84.88263632,9.291907704
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2022,39422,13.520932,144.801164,13.52894,144.80037,4,AGR,,,0.025464791,5.980099646,254.6479089,59.80099646
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2022,39423,13.531195,144.799711,13.52894,144.80037,4,AGR,,,0.005658842,0.73418543,56.58842421,7.341854298
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2022,39700,13.530298,144.800062,13.52894,144.80037,4,AGR,,,0.062247265,11.65042574,622.4726662,116.5042574
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2022,39701,13.525254,144.801084,13.52894,144.80037,4,AGR,,,0.022635369,8.29409288,226.3536968,82.9409288
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2022,39702,13.519084,144.799982,13.52894,144.80037,4,AGR,,,0.028294212,2.119621827,282.942121,21.19621826
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2022,39703,13.521725,144.79986,13.52894,144.80037,4,AGR,,,0.005658842,0.389317657,56.58842421,3.893176563
pacific,MARIAN,GUA,Guam,OCC-GUA-015,2022,39704,13.513193,144.794603,13.52894,144.80037,4,AGR,,,0.025464791,3.903344589,254.6479089,39.03344589
pacific,MARIAN,MAU,Maug,OCC-MAU-002,2014,7117,20.03567085,145.2221602,20.03570278,145.224671,5,AGR,,,0.014147105,20.17311072,141.4710605,201.7311072
pacific,MARIAN,MAU,Maug,OCC-MAU-002,2014,7118,20.03623319,145.2251678,20.03570278,145.224671,5,AGR,,,0,0,0,0
pacific,MARIAN,MAU,Maug,OCC-MAU-002,2014,7123,20.03425305,145.229212,20.03570278,145.224671,5,AGR,,,0.011317684,3.960456445,113.1768484,39.60456445
pacific,MARIAN,MAU,Maug,OCC-MAU-002,2014,7136,20.0334431,145.2273314,20.03570278,145.224671,5,SAG,,,0.028294211,7.343234354,282.942121,73.43234354
pacific,MARIAN,MAU,Maug,OCC-MAU-002,2017,11057,20.034825,145.228589,20.03570278,145.224671,5,AGR,,,0,0,0,0
pacific,MARIAN,MAU,Maug,OCC-MAU-002,2017,11059,20.033535,145.22947,20.03570278,145.224671,5,AGR,,,0.033953052,10.84438665,339.5305453,108.4438665
pacific,MARIAN,MAU,Maug,OCC-MAU-002,2017,11060,20.035038,145.225229,20.03570278,145.224671,5,AGR,,,0.031123631,18.22071363,311.2363332,182.2071363
pacific,MARIAN,MAU,Maug,OCC-MAU-002,2022,39203,20.036568,145.225443,20.03570278,145.224671,5,AGR,,,0.011317684,6.020970308,113.1768484,60.20970308
pacific,MARIAN,MAU,Maug,OCC-MAU-002,2022,39281,20.035948,145.226559,20.03570278,145.224671,5,AGR,,,0.011317684,7.205299374,113.1768484,72.05299374
