RegionCode,SubRegion,SiteName,Latitude,Longitude,Depth ,Location,InstrumentType,ProjectCode,tagNum,Fate,Deployment,Recovery,Duration,Species,BlockDimensions,PreWeightBlock,PreWeightEpoxied,PreVolume,PreRWDensity,PreCTDensity,PostWeightDirty,PostWeightClean,PostVolume,PostCTDensity,PostCTMacroboring,PostCTMacroboringRate,PostCTGrazing,PostCTGrazingRate,PostCTAccretion ,PostCTAccretionRate,Notes
NWHI,PHR,OCC-PHR-007,27.866913,-175.733499,14.3,PHR-51,BMU,NCRMP,1601,NOT RECOVERED,9/10/2016,,,Porites lobata,5 x 2 x 1,14.3434,31.1194,,,,,,,,,,,,,,Haven't been able to access this site since 2016 due to weather
NWHI,PHR,OCC-PHR-007,27.866913,-175.733499,14.3,PHR-51,BMU,NCRMP,1604,NOT RECOVERED,9/10/2016,,,Porites lobata,5 x 2 x 1,17.0444,33.7953,,,,,,,,,,,,,,Haven't been able to access this site since 2016 due to weather
NWHI,PHR,OCC-PHR-007,27.866913,-175.733499,14.3,PHR-51,BMU,NCRMP,1605,NOT RECOVERED,9/10/2016,,,Porites lobata,5 x 2 x 1,17.4291,34.1403,,,,,,,,,,,,,,Haven't been able to access this site since 2016 due to weather
NWHI,PHR,OCC-PHR-007,27.866913,-175.733499,14.3,PHR-51,BMU,NCRMP,1607,NOT RECOVERED,9/10/2016,,,Porites lobata,5 x 2 x 1,17.4735,34.1882,,,,,,,,,,,,,,Haven't been able to access this site since 2016 due to weather
NWHI,PHR,OCC-PHR-007,27.866913,-175.733499,14.3,PHR-51,BMU,NCRMP,1609,NOT RECOVERED,9/10/2016,,,Porites lobata,5 x 2 x 1,16.9501,33.1124,,,,,,,,,,,,,,Haven't been able to access this site since 2016 due to weather
NWHI,FFS,OCC-FFS-002,23.878111,-166.290958,16.8,FFS-42,BMU,NCRMP,1611,SUCCESSFULLY RECOVERED,9/25/2016,8/11/2024,7.88,Porites lobata,5 x 2 x 1,15.457,32.424,,,,,,,,,,,,,,Tags lost before CT scan and analysis. Unable to match output data with tag number
NWHI,FFS,OCC-FFS-002,23.878111,-166.290958,16.8,FFS-42,BMU,NCRMP,1612,SUCCESSFULLY RECOVERED,9/25/2016,8/11/2024,7.88,Porites lobata,5 x 2 x 1,15.8391,32.4936,,,,,,,,,,,,,,Tags lost before CT scan and analysis. Unable to match output data with tag number
NWHI,FFS,OCC-FFS-002,23.878111,-166.290958,16.8,FFS-42,BMU,NCRMP,1613,SUCCESSFULLY RECOVERED,9/25/2016,8/11/2024,7.88,Porites lobata,5 x 2 x 1,14.8225,31.9054,,,,,,,,,,,,,,Tags lost before CT scan and analysis. Unable to match output data with tag number
NWHI,FFS,OCC-FFS-002,23.878111,-166.290958,16.8,FFS-42,BMU,NCRMP,1614,NOT RECOVERED,9/25/2016,,,Porites lobata,5 x 2 x 1,15.9797,33.0267,,,,,,,,,,,,,,Tags lost before CT scan and analysis. Unable to match output data with tag number
NWHI,FFS,OCC-FFS-002,23.878111,-166.290958,16.8,FFS-42,BMU,NCRMP,1615,NOT RECOVERED,9/25/2016,,,Porites lobata,5 x 2 x 1,18.8057,35.9284,,,,,,,,,,,,,,Tags lost before CT scan and analysis. Unable to match output data with tag number
NWHI,FFS,OCC-FFS-007,23.83515,-166.11682,16.2,FFS-44,BMU,NCRMP,1616,SUCCESSFULLY RECOVERED,9/24/2016,8/9/2024,7.88,Porites lobata,5 x 2 x 1,17.0046,33.9098,,,,,,,,,,,,,,Tags lost before CT scan and analysis. Unable to match output data with tag number
NWHI,FFS,OCC-FFS-007,23.83515,-166.11682,16.2,FFS-44,BMU,NCRMP,1617,NOT RECOVERED,9/24/2016,,,Porites lobata,5 x 2 x 1,16.2756,32.9747,,,,,,,,,,,,,,Tags lost before CT scan and analysis. Unable to match output data with tag number
NWHI,FFS,OCC-FFS-007,23.83515,-166.11682,16.2,FFS-44,BMU,NCRMP,1618,NOT RECOVERED,9/24/2016,,,Porites lobata,5 x 2 x 1,15.1742,32.0895,,,,,,,,,,,,,,Tags lost before CT scan and analysis. Unable to match output data with tag number
NWHI,FFS,OCC-FFS-007,23.83515,-166.11682,16.2,FFS-44,BMU,NCRMP,1619,SUCCESSFULLY RECOVERED,9/24/2016,8/9/2024,7.88,Porites lobata,5 x 2 x 1,13.0389,29.5956,,,,,,,,,,,,,,Tags lost before CT scan and analysis. Unable to match output data with tag number
NWHI,FFS,OCC-FFS-007,23.83515,-166.11682,16.2,FFS-44,BMU,NCRMP,1620,SUCCESSFULLY RECOVERED,9/24/2016,8/9/2024,7.88,Porites lobata,5 x 2 x 1,14.3538,31.567,,,,,,,,,,,,,,Tags lost before CT scan and analysis. Unable to match output data with tag number
NWHI,FFS,OCC-FFS-010,23.6369,-166.18527,14.3,GET,BMU,NCRMP,1635,NOT RECOVERED,9/1/2016,,,Porites lobata,5 x 2 x 1,17.0578,33.8566,,,,,,,,,,,,,,Site decimated by Hurricane Walaka in 2018
NWHI,FFS,OCC-FFS-010,23.6369,-166.18527,14.3,GET,BMU,NCRMP,1637,NOT RECOVERED,9/1/2016,,,Porites lobata,5 x 2 x 1,17.2553,34.1762,,,,,,,,,,,,,,Site decimated by Hurricane Walaka in 2018
NWHI,FFS,OCC-FFS-010,23.6369,-166.18527,14.3,GET,BMU,NCRMP,1638,NOT RECOVERED,9/1/2016,,,Porites lobata,5 x 2 x 1,16.5397,33.3496,,,,,,,,,,,,,,Site decimated by Hurricane Walaka in 2018
NWHI,FFS,OCC-FFS-010,23.6369,-166.18527,14.3,GET,BMU,NCRMP,1639,NOT RECOVERED,9/1/2016,,,Porites lobata,5 x 2 x 1,16.2543,33.1313,,,,,,,,,,,,,,Site decimated by Hurricane Walaka in 2018
NWHI,FFS,OCC-FFS-010,23.6369,-166.18527,14.3,GET,BMU,NCRMP,1640,NOT RECOVERED,9/1/2016,,,Porites lobata,5 x 2 x 1,14.8642,31.709,,,,,,,,,,,,,,Site decimated by Hurricane Walaka in 2018
MHI,HAW,OCC-HAW-006,19.486377,-154.817659,11.9,FFS-40,BMU,NCRMP,1661,NOT RECOVERED,8/9/2016,,,Porites lobata,5 x 2 x 1,15.5677,31.6979,,,,,,,,,,,,,,Covered by lava in 2018 Kilauea eruption
MHI,HAW,OCC-HAW-006,19.486377,-154.817659,11.9,FFS-40,BMU,NCRMP,1662,NOT RECOVERED,8/9/2016,,,Porites lobata,5 x 2 x 1,14.8426,31.3793,,,,,,,,,,,,,,Covered by lava in 2018 Kilauea eruption
MHI,HAW,OCC-HAW-006,19.486377,-154.817659,11.9,FFS-40,BMU,NCRMP,1663,NOT RECOVERED,8/9/2016,,,Porites lobata,5 x 2 x 1,15.1246,31.8146,,,,,,,,,,,,,,Covered by lava in 2018 Kilauea eruption
MHI,HAW,OCC-HAW-006,19.486377,-154.817659,11.9,FFS-40,BMU,NCRMP,1664,NOT RECOVERED,8/9/2016,,,Porites lobata,5 x 2 x 1,12.9848,29.2082,,,,,,,,,,,,,,Covered by lava in 2018 Kilauea eruption
MHI,HAW,OCC-HAW-006,19.486377,-154.817659,11.9,FFS-40,BMU,NCRMP,1665,NOT RECOVERED,8/9/2016,,,Porites lobata,5 x 2 x 1,16.6362,33.2883,,,,,,,,,,,,,,Covered by lava in 2018 Kilauea eruption
MHI,HAW,OCC-HAW-008,19.060709,-155.552374,14.9,HAW-48,BMU,NCRMP,1681,NOT RECOVERED,8/9/2016,,,Porites lobata,5 x 2 x 1,15.8058,32.6226,,,,,,,,,,,,,,Haven't been able to access this site since 2016 due to weather
MHI,HAW,OCC-HAW-008,19.060709,-155.552374,14.9,HAW-48,BMU,NCRMP,1682,NOT RECOVERED,8/9/2016,,,Porites lobata,5 x 2 x 1,16.6595,33.3243,,,,,,,,,,,,,,Haven't been able to access this site since 2016 due to weather
MHI,HAW,OCC-HAW-008,19.060709,-155.552374,14.9,HAW-48,BMU,NCRMP,1683,NOT RECOVERED,8/9/2016,,,Porites lobata,5 x 2 x 1,13.666,30.0621,,,,,,,,,,,,,,Haven't been able to access this site since 2016 due to weather
MHI,HAW,OCC-HAW-008,19.060709,-155.552374,14.9,HAW-48,BMU,NCRMP,1684,NOT RECOVERED,8/9/2016,,,Porites lobata,5 x 2 x 1,15.8678,32.3421,,,,,,,,,,,,,,Haven't been able to access this site since 2016 due to weather
MHI,HAW,OCC-HAW-008,19.060709,-155.552374,14.9,HAW-48,BMU,NCRMP,1685,NOT RECOVERED,8/9/2016,,,Porites lobata,5 x 2 x 1,15.9087,32.8202,,,,,,,,,,,,,,Haven't been able to access this site since 2016 due to weather
MHI,HAW,OCC-HAW-10,19.244301,-155.900277,15.2,HAW-43,BMU,NCRMP,4576,SUCCESSFULLY RECOVERED,7/11/2019,5/7/2024,4.99,Porites lobata,5 x 2 x 1,12.0588,27.7899,10.53033543,1.145148707,1.13214292,30.6395,26.5439,7.232179642,1.242603995,-0.118291855,-0.023705783,-3.416447643,-0.684658846,1.19195652,0.238869042,
MHI,HAW,OCC-HAW-10,19.244301,-155.900277,15.2,HAW-43,BMU,NCRMP,4577,SUCCESSFULLY RECOVERED,7/11/2019,5/7/2024,4.99,Porites lobata,5 x 2 x 1,11.614,27.8721,10.38043213,1.118835888,1.110850736,31.4464,29.3408,8.339859009,1.233208896,-0.160022736,-0.032068684,-2.200595857,-0.441001174,2.315574646,0.464043015,
MHI,HAW,OCC-HAW-10,19.244301,-155.900277,15.2,HAW-43,BMU,NCRMP,4578,NOT RECOVERED,,,,Porites lobata,5 x 2 x 1,11.1652,26.652,,,,,,,,,,,,,,
MHI,HAW,OCC-HAW-10,19.244301,-155.900277,15.2,HAW-43,BMU,NCRMP,4579,SUCCESSFULLY RECOVERED,7/11/2019,5/7/2024,4.99,Porites lobata,5 x 2 x 1,11.8251,27.6117,10.9194746,1.082936719,1.075109888,24.9237,22.9072,4.985149384,1.158465444,-2.588773727,-0.51879233,-8.523098943,-1.70803586,0.896647453,0.179688868,
MHI,HAW,OCC-HAW-10,19.244301,-155.900277,15.2,HAW-43,BMU,NCRMP,4580,SUCCESSFULLY RECOVERED,7/11/2019,5/7/2024,4.99,Porites lobata,5 x 2 x 1,12.0386,27.2284,10.82824516,1.111777562,1.118749656,22.7144,20.939,4.201068878,1.274221448,-0.391928673,-0.07854282,-7.019104955,-1.406634259,0.347931862,0.069725824,
MHI,PHR,OCC-PHR-016,27.95493,-175.83582,15.6,PHR-53,BMU,NCRMP,4602,PLATE ONLY,9/10/2013,,,Porites lobata,5 x 2 x 1,,35.9239,,,,20.314,17.3071,,,,,,,,,
NWHI,PHR,OCC-PHR-016,27.793045,-175.997461,13.7,PHR-54,BMU,NCRMP,6286,SUCCESSFULLY RECOVERED,7/11/2019,8/23/2024,4.97,Porites lobata,5 x 2 x 1,16.0957,31.7056,11.24326229,1.431586277,1.402655664,30.1038,28.9663,9.056837082,1.50967123,-0.006222725,-0.001252057,-2.192647933,-0.441176646,0.398932457,0.0802681,
NWHI,PHR,OCC-PHR-016,27.793045,-175.997461,13.7,PHR-54,BMU,NCRMP,6287,SUCCESSFULLY RECOVERED,7/11/2019,8/23/2024,4.97,Porites lobata,5 x 2 x 1,13.1377,28.7169,10.69660664,1.228211941,1.208270704,29.7534,28.7557,9.477579117,1.32107716,-0.450379372,-0.090619592,-1.669406895,-0.335896759,0.593853951,0.119487716,
NWHI,PHR,OCC-PHR-016,27.793045,-175.997461,13.7,PHR-54,BMU,NCRMP,6288,SUCCESSFULLY RECOVERED,7/11/2019,8/23/2024,4.97,Porites lobata,5 x 2 x 1,15.2978,30.9695,10.92477894,1.400284627,1.366951224,32.4817,31.1404,10.00757504,1.4959835,-0.01406765,-0.002830513,-0.93127155,-0.187378581,0.695554733,0.139950651,
NWHI,PHR,OCC-PHR-016,27.793045,-175.997461,13.7,PHR-54,BMU,NCRMP,6289,SUCCESSFULLY RECOVERED,7/11/2019,8/23/2024,4.97,Porites lobata,5 x 2 x 1,15.2928,30.6055,10.90731239,1.402068581,1.370621384,31.5781,30.2297,9.784724236,1.48208752,-0.033594131,-0.006759383,-1.156182285,-0.232632251,0.424106598,0.085333319,
NWHI,PHR,OCC-PHR-016,27.793045,-175.997461,13.7,PHR-54,BMU,NCRMP,6290,SUCCESSFULLY RECOVERED,7/11/2019,8/23/2024,4.97,Porites lobata,5 x 2 x 1,14.851,30.2715,10.89145088,1.363546525,1.344067184,31.2675,30.4430,10.04741764,1.46681191,-0.002386093,-0.000480099,-0.846419333,-0.170305701,0.44805336,0.090151581,
MHI,OAH,OCC-OAH-012,21.534078,-158.234391,14.6,OAH-25,BMU,NCRMP,6291,SUCCESSFULLY RECOVERED,8/2/2019,6/5/2024,4.85,Porites lobata,5 x 2 x 1,14.9861,30.8016,11.17387676,1.341172837,1.328366312,30.2294,26.3725,3.696564674,1.39971287,-0.319573402,-0.065891423,-7.796885488,-1.607605255,3.125318527,0.644395573,
MHI,OAH,OCC-OAH-012,21.534078,-158.234391,14.6,OAH-25,BMU,NCRMP,6292,SUCCESSFULLY RECOVERED,8/2/2019,6/5/2024,4.85,Porites lobata,5 x 2 x 1,15.2167,30.8597,11.52140522,1.320732993,1.299399264,28.0813,26.8063,7.703939438,1.36711002,-0.608513832,-0.12546677,-4.425979614,-0.912573116,0.487398148,0.100494463,
MHI,OAH,OCC-OAH-012,21.534078,-158.234391,14.6,OAH-25,BMU,NCRMP,6293,SUCCESSFULLY RECOVERED,8/2/2019,6/5/2024,4.85,Porites lobata,5 x 2 x 1,16.3677,31.7871,11.92274952,1.372812536,1.35276284,29.4164,26.9734,8.203156471,1.35566663,-1.225413322,-0.252662541,-4.945006371,-1.019588942,0.457657814,0.094362436,
MHI,OAH,OCC-OAH-012,21.534078,-158.234391,14.6,OAH-25,BMU,NCRMP,6294,SUCCESSFULLY RECOVERED,8/2/2019,6/5/2024,4.85,Porites lobata,5 x 2 x 1,14.7646,30.1942,10.96020985,1.347109244,1.336398584,24.8635,23.7551,5.701209068,1.37797318,-2.376085281,-0.489914491,-7.635086063,-1.574244549,0.594343185,0.122544987,
MHI,OAH,5,21.534078,-158.234391,14.6,OAH-25,BMU,NCRMP,6295,SUCCESSFULLY RECOVERED,8/2/2019,6/5/2024,4.85,Porites lobata,5 x 2 x 1,14.6845,29.9081,10.68035889,1.374906981,1.367365384,29.5801,27.8739,8.798864365,1.38673144,-0.581717491,-0.119941751,-2.463212016,-0.507878766,0.513997078,0.105978779,
