RegionCode,SubRegion,SiteName,Latitude,Longitude,Depth ,Location,InstrumentType,ProjectCode,tagNum,Fate,Deployment,Recovery,Duration,Species,BlockDimensions,PreWeightBlock,PreWeightEpoxied,PreVolume,PreRWDensity,PreCTDensity,PostWeightDirty,PostWeightClean,PostVolume,PostCTDensity,PostCTMacroboring,PostCTMacroboringRate,PostCTGrazing,PostCTGrazingRate,PostCTAccretion ,PostCTAccretionRate,Notes
STJ,east,Newfound,18.34744,-64.66539,15.6,STJ_east_15,BMU,NCRMP,4880,SUCCESSFULLY RECOVERED,8/14/2017,7/20/2023,5.93,O. faveolata,5x2x1,16.9074,32.7818,,,,36.2997,30.4319,7.75633049,1.50673913,-1.630087852,-0.274733908,,,1.121446609,0.189007855,Prescan blocks not CT'd
STJ,west,Steven Cay,18.32802,-64.80903,14.5,STJ_west_15,BMU,NCRMP,4895,SUCCESSFULLY RECOVERED,8/15/2017,7/23/2023,5.94,O. faveolata,5x2x1,15.4671,31.4529,,,,32.1096,29.1893,8.358286858,1.62070452,-0.426441193,-0.071804878,,,0.720883369,0.121383542,Prescan blocks not CT'd
PR,south,La Parguera,17.95355,-67.05065,15,PR_south_15a,BMU,NCRMP,6746,SUCCESSFULLY RECOVERED,9/2/2021,5/23/2023,1.73,O. faveolata,5x2x1,19.4711,34.7136,11.78347206,1.652407703,1.66341659,36.1394,34.7257,10.64068794,1.71407018,-0.261826515,-0.151783487,-0.880957605,-0.509224049,0.629319191,0.364822719,
PR,south,La Parguera,17.95355,-67.05065,15,PR_south_15a,BMU,NCRMP,6747,SUCCESSFULLY RECOVERED,9/2/2021,5/23/2023,1.73,O. faveolata,5x2x1,12.7791,27.9879,11.07172966,1.154209901,1.177415228,28.0482,27.3454,9.348927498,1.252313752,-0.454421997,-0.263433042,-1.268380165,-0.733167725,0.3185606,0.184672812,
PR,south,La Parguera,17.95355,-67.05065,15,PR_south_15a,BMU,NCRMP,6748,SUCCESSFULLY RECOVERED,9/2/2021,5/23/2023,1.73,O. faveolata,5x2x1,16.7547,32.1426,12.14755726,1.379264954,1.398506836,30.787,29.7279,9.540115356,1.46979699,-0.476351738,-0.276145935,-2.131090166,-1.231844027,0.139183044,0.080685823,
PR,south,La Parguera,17.95355,-67.05065,15,PR_south_15a,BMU,NCRMP,6749,SUCCESSFULLY RECOVERED,9/2/2021,5/23/2023,1.73,O. faveolata,5x2x1,13.7503,29.1199,11.39633274,1.206554803,1.235109003,27.8062,26.508,7.681159973,1.34988909,-0.679203987,-0.393741442,-3.03596878,-1.754895249,0.552560806,0.320325105,
PR,south,La Parguera,17.95355,-67.05065,15,PR_south_15a,BMU,NCRMP,6750,SUCCESSFULLY RECOVERED,9/2/2021,5/23/2023,1.73,O. faveolata,5x2x1,16.6978,31.9684,11.03192139,1.513589466,1.543590979,36.0782,34.5152,8.573078156,1.62676702,-0.712059975,-0.412788391,-1.746783259,-1.009701306,3.002220154,1.740417481,
PR,south,La Parguera,17.95355,-67.05065,15,PR_south_15a,BMU,NCRMP,6751,SUCCESSFULLY RECOVERED,9/2/2021,5/23/2023,1.73,O. faveolata,5x2x1,15.0236,30.825,11.09517002,1.354066677,1.382900135,97.0385,,,,,,-11.09517002,-6.413393075,,,"massive barnacle accretion, not analyzed"
PR,south,La Parguera,17.95355,-67.05065,15,PR_south_15a,BMU,NCRMP,6752,SUCCESSFULLY RECOVERED,9/2/2021,5/23/2023,1.73,O. faveolata,5x2x1,18.3046,33.3615,12.03262138,1.521247899,1.541516443,33.8299,32.206,10.07151032,1.610179822,-0.192861557,-0.111803801,-1.768249503,-1.022109539,0.676920891,0.392417908,
PR,south,La Parguera,17.95355,-67.05065,15,PR_south_15a,BMU,NCRMP,6753,SUCCESSFULLY RECOVERED,9/2/2021,5/23/2023,1.73,O. faveolata,5x2x1,15.2833,30.8969,12.44502068,1.228065457,1.253286828,29.8036,27.2485,8.376062393,1.375436206,-0.605681419,-0.351119663,-3.463276868,-2.001894143,0.150615692,0.087313445,
