RegionCode,SubRegion,SiteName,Latitude,Longitude,Depth ,Location,InstrumentType,ProjectCode,tagNum,Fate,Deployment,Recovery,Duration,Species,BlockDimensions,PreWeightBlock,PreWeightEpoxied,PreVolume,PreRWDensity,PreCTDensity,PostWeightDirty,PostWeightClean,PostVolume,PostCTDensity,PostCTMacroboring,PostCTMacroboringRate,PostCTGrazing,PostCTGrazingRate,PostCTAccretion ,PostCTAccretionRate,Notes
SAMOA,Ofu,OCC-OFU-002,19.244301,-155.900277,14.6304,OFU-09,BMU,NCRMP,2471,PLATE ONLY,7/9/2018,7/29/2023,5.06,Porites lobata,5x2x1,10.8252,26.9098,10.55520916,1.025578919,1.017130544,,,,,,,,,,,plate only
SAMOA,Ofu,OCC-OFU-002,19.244301,-155.900277,14.6304,OFU-09,BMU,NCRMP,2472,SUCCESSFULLY RECOVERED,7/9/2018,7/29/2023,5.06,Porites lobata,5x2x1,12.4614,28.0757,11.0077343,1.132058574,1.129857616,18.8827,16.7726,0.100284576,1.33418692,-0.000188828,-3.74E-05,-10.9072609,-2.157480177,0.657025337,0.129961056,Basically plate only
SAMOA,Ofu,OCC-OFU-002,19.244301,-155.900277,14.6304,OFU-09,BMU,NCRMP,2473,SUCCESSFULLY RECOVERED,7/9/2018,7/29/2023,5.06,Porites lobata,5x2x1,11.5979,27.609,11.00172615,1.054189119,1.050213792,20.6942,18.1187,0.160117149,1.4592541,-0.001141548,-0.000225801,-10.84046745,-2.144268287,1.287940979,0.254757556,Basically plate only
SAMOA,Ofu,OCC-OFU-002,19.244301,-155.900277,14.6304,OFU-09,BMU,NCRMP,2474,SUCCESSFULLY RECOVERED,7/9/2018,7/29/2023,5.06,Porites lobata,5x2x1,12.6808,28.9366,11.20480156,1.131729101,1.138795704,41.875,39.8293,4.452715874,1.242582078,-0.062682152,-0.012398667,-6.689403534,-1.323178721,10.33275318,2.043841288,
SAMOA,Ofu,OCC-OFU-002,19.244301,-155.900277,14.6304,OFU-09,BMU,NCRMP,2475,SUCCESSFULLY RECOVERED,7/9/2018,7/29/2023,5.06,Porites lobata,5x2x1,12.4366,28.094,11.18868256,1.111533903,1.110375736,24.342,23.5644,5.800832748,1.262476456,-0.325281143,-0.064341325,-5.062568669,-1.001387209,0.407558441,0.080615955,
AMSO,Tau,OCC-TAU-011,-14.18059,-169.65211,15.24,TAU-12,BMU,NCRMP,2476,SUCCESSFULLY RECOVERED,7/11/2018,7/28/2023,5.05,Porites lobata,5x2x1,11.3043,27.056,10.28893661,1.098684969,1.096584496,33.9059,28.7434,6.204091072,1.208449819,-0.058373451,-0.011565461,-4.026472087,-0.797760017,3.582590103,0.70981422,
AMSO,Tau,OCC-TAU-011,-14.18059,-169.65211,15.24,TAU-12,BMU,NCRMP,2477,SUCCESSFULLY RECOVERED,7/11/2018,7/28/2023,5.05,Porites lobata,5x2x1,11.9577,27.3384,10.69525909,1.118037431,1.11429048,46.0544,37.7906,8.5272789,1.233405519,-0.04911232,-0.009730564,-2.11886787,-0.419808714,3.974767685,0.787515887,
AMSO,Tau,OCC-TAU-011,-14.18059,-169.65211,15.24,TAU-12,BMU,NCRMP,2478,SUCCESSFULLY RECOVERED,7/11/2018,7/28/2023,5.05,Porites lobata,5x2x1,10.3435,25.9322,10.01863003,1.032426586,1.02741748,31.0673,28.1362,5.471157074,1.22906799,-2.804998398,-0.555750921,-1.742474558,-0.345234365,3.939937592,0.780615043,
AMSO,Tau,OCC-TAU-011,-14.18059,-169.65211,15.24,TAU-12,BMU,NCRMP,2479,SUCCESSFULLY RECOVERED,7/11/2018,7/28/2023,5.05,Porites lobata,5x2x1,10.4575,25.9956,10.06522751,1.038973038,1.035791408,55.2341,31.1717,7.290862083,1.144145859,-0.008042336,-0.001593418,-2.766323091,-0.54808823,15.74444675,3.119428085,
AMSO,Tau,OCC-TAU-011,-14.18059,-169.65211,15.24,TAU-12,BMU,NCRMP,2480,SUCCESSFULLY RECOVERED,7/11/2018,7/28/2023,5.05,Porites lobata,5x2x1,11.4283,26.9636,10.40668774,1.09816882,1.094441872,54.1633,47.1834,7.128436089,1.153361688,-0.022470474,-0.004452048,-3.255781177,-0.645063965,13.62169075,2.69884902,
SAMOA,TUT,OCC-TUT-017,-14.28537,-170.56395,14.6304,TUT-75,BMU,NCRMP,2481,SUCCESSFULLY RECOVERED,7/4/2018,7/1/2023,4.99,Porites lobata,5x2x1,12.6096,28.2045,10.52972603,1.197524035,1.17969556,29.3897,27.7997,7.660509109,1.32880847,-0.004179955,-0.000837387,-2.865036966,-0.573964,1.165640831,0.233517362,Marked as not recovered in metadata but clearly labeled 2481 on plate. Potentially recorded as 2485 in metadata.
SAMOA,TUT,OCC-TUT-002,-14.28537,-170.56395,14.6304,TUT-72,BMU,NCRMP,2482,SUCCESSFULLY RECOVERED,6/29/2018,7/8/2023,5.03,Porites lobata,5x2x1,12.4019,27.7543,11.09610558,1.117680425,1.112071976,41.6016,40.4668,5.957456589,1.280010847,-1.900686264,-0.378246023,-3.237962727,-0.644370692,10.22912121,2.035646012,
